,1979,,1980,,Jan.1981-Aug.1982,,Aug.1982-Nov.1983,,Nov.1983-Nov.1984,,Nov.1984-Nov.1985,,Nov.1985-Nov.1986,,Nov.1986-Nov.1987,,1988,1989,1990,1991,1992,1993,,,,,,,,,,1994,,,,,,,,,,1995,,,,,,,,,,1996,,,,,,,,,,1997,,,,,,,,,,1998,,,,,,,,,,1999,,,,,,,,,,2000,,,,,,,,,,2001,,,,,2002,,,,,2003,,,,,2004,,,,,2005,,,,,2006,,,,,2007,,,,,2008,,,,,2009,,,,,2010,,,,,2011,,,,,2012,,,,,2013,,,,,2014,,,,,2015,,,,,2016,,,,
,Print,Broadcast,Print,Broadcast,Print,Broadcast,Print,Broadcast,Print,Broadcast,Print,Broadcast,Print,Broadcast,Print,Broadcast,Status,Status,Status,Status,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status
Afghanistan,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,-,-,-,-,-,-,-,-,-,NF,10,10,10,10,10,10,15,15,90,NF,10,10,10,10,10,10,15,15,90,NF,15,15,15,15,15,15,5,5,100,NF,15,15,15,15,15,15,5,5,100,NF,15,15,15,15,15,15,5,5,100,NF,15,15,15,15,15,15,0,0,90,NF,15,15,15,15,15,15,0,5,95,NF,-,-,-,-,-,24,30,20,74,NF,24,28,20,72,NF,21,27,20,68,NF,21,28,20,69,NF,21,28,20,69,NF,21,30,20,71,NF,22,32,20,74,NF,22,33,21,76,NF,22,33,20,75,NF,22,32,20,74,NF,20,28,19,67,NF,20,27,19,66,NF,20,28,19,67,NF,18,26,18,62,NF,17,27,16,60,PF
Albania,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,PF,9,9,10,6,5,4,2,8,53,PF,9,9,10,6,5,5,10,13,67,NF,9,9,10,6,5,7,10,15,71,NF,13,13,12,11,5,15,1,5,75,NF,10,8,11,11,5,5,1,5,56,PF,8,8,11,11,5,10,1,2,56,PF,8,8,12,11,6,10,1,0,56,PF,8,8,12,11,6,10,1,0,56,PF,24,12,12,48,PF,20,18,12,50,PF,17,18,14,49,PF,18,17,16,51,PF,17,17,16,50,PF,17,16,17,50,PF,16,16,18,50,PF,16,16,18,50,PF,16,16,18,50,PF,16,17,17,50,PF,16,18,17,51,PF,15,17,17,49,PF,15,17,17,49,PF,15,17,17,49,PF,15,18,18,51,PF,15,19,17,51,PF
Algeria,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,PF,PF,NF,10,10,10,10,8,10,10,15,83,NF,10,9,10,10,10,10,20,20,99,NF,10,9,10,10,10,10,20,20,99,NF,15,15,15,15,15,15,4,5,99,NF,15,15,15,15,15,15,2,5,97,NF,15,13,15,10,10,15,0,5,83,NF,15,13,15,10,10,15,2,3,83,NF,15,13,15,7,10,12,0,2,74,NF,21,26,15,62,NF,21,24,17,62,NF,23,22,18,63,NF,23,23,18,64,NF,22,22,17,61,NF,22,23,17,62,NF,22,23,17,62,NF,22,23,17,62,NF,22,25,17,64,NF,22,23,17,62,NF,22,23,17,62,NF,21,23,17,61,NF,20,22,17,59,PF,21,23,17,61,NF,22,23,17,62,NF,22,24,19,65,NF
Andorra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,6,8,F,1,4,8,13,F,1,5,8,14,F,1,5,8,14,F,1,4,8,13,F,1,4,8,13,F,1,4,8,13,F,1,4,8,13,F,1,4,8,13,F,1,4,8,13,F,1,4,8,13,F,1,4,8,13,F,1,4,8,13,F,1,4,8,13,F,2,5,8,15,F
Angola,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,10,10,10,10,5,5,12,12,74,NF,10,10,10,10,5,5,5,13,68,NF,10,10,7,10,6,6,10,10,69,NF,15,15,13,13,5,5,5,3,74,NF,15,15,13,13,7,7,2,2,74,NF,15,15,13,13,7,7,2,2,74,NF,15,15,13,13,7,7,5,5,80,NF,15,15,13,13,7,7,5,5,80,NF,21,33,25,79,NF,20,30,22,72,NF,18,27,21,66,NF,19,26,21,66,NF,19,25,21,65,NF,17,24,21,62,NF,19,23,21,63,NF,18,22,21,61,NF,18,23,21,62,NF,18,25,21,64,NF,19,27,21,67,NF,19,28,21,68,NF,19,29,21,69,NF,19,30,21,70,NF,20,30,21,71,NF,22,30,21,73,NF
Antigua and Barbuda,-,-,-,-,F,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,F,F,F,F,F,2,2,10,10,1,1,1,1,28,F,5,2,10,10,1,1,3,3,35,PF,6,2,10,9,1,1,3,3,35,PF,15,3,15,9,1,1,1,1,46,PF,15,3,15,9,1,1,1,1,46,PF,15,3,15,9,1,1,1,1,46,PF,15,3,15,9,1,3,0,0,46,PF,15,3,15,9,1,3,0,0,46,PF,12,16,16,44,PF,12,16,17,45,PF,12,16,15,43,PF,12,14,14,40,PF,10,14,14,38,PF,10,14,14,38,PF,10,16,13,39,PF,10,15,13,38,PF,10,15,13,38,PF,9,16,13,38,PF,9,16,13,38,PF,9,16,13,38,PF,9,17,13,39,PF,9,16,13,38,PF,8,16,11,35,PF,8,15,11,34,PF
Argentina,PF,NF,PF,NF,PF,NF,F,PF,F,PF,F,F,F,F,F,F,F,F,F,F,F,3,2,3,2,2,2,7,8,29,F,4,3,4,3,3,3,3,6,29,F,4,3,4,3,3,3,4,7,31,PF,5,4,5,6,3,5,1,2,31,PF,5,4,5,9,3,5,1,4,36,PF,6,5,7,9,3,5,2,4,41,PF,6,4,7,9,3,5,3,4,41,PF,6,4,6,7,3,5,1,1,33,PF,10,21,6,37,PF,11,16,12,39,PF,8,14,13,35,PF,10,16,15,41,PF,12,17,16,45,PF,13,20,16,49,PF,11,21,15,47,PF,13,21,15,49,PF,13,21,15,49,PF,12,23,16,51,PF,12,22,16,50,PF,13,23,16,52,PF,14,21,16,51,PF,15,20,16,51,PF,14,20,16,50,PF,13,18,15,46,PF
Armenia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PF,5,5,10,8,6,10,2,2,52,PF,7,5,10,8,6,10,1,10,57,PF,7,4,10,8,6,10,1,10,56,PF,7,7,8,13,6,13,1,1,56,PF,7,7,8,13,6,13,0,2,56,PF,8,8,8,13,6,13,0,0,56,PF,8,8,8,13,6,13,0,1,57,PF,8,8,8,13,6,13,0,2,59,PF,21,26,13,60,PF,23,26,16,65,NF,20,26,18,64,NF,20,26,18,64,NF,20,26,18,64,NF,20,24,20,64,NF,21,25,20,66,NF,21,27,20,68,NF,21,25,20,66,NF,20,25,20,65,NF,21,24,20,65,NF,19,22,20,61,NF,19,23,20,62,NF,19,22,20,61,NF,20,23,20,63,NF,20,23,20,63,NF
