ioname,year,afghanistan,albania,algeria,andorra,angola,antiguabarbuda,argentina,armenia,australia,austria,austriahungary,azerbaijan,baden,bahamas,bahrain,bangladesh,barbados,bavariaelect,belarus,belgium,belize,benin,bhutan,bolivia,bosnia,botswana,brazil,brunei,bulgaria,burkinafaso,burundi,car,cambodia,cameroon,canada,capeverde,chad,chile,china,colombia,comoros,congobrazz,costarica,croatia,cuba,cyprus,czechrep,czechoslovakia,denmark,djibouti,domrepublic,dominica,egermany,etimor,ecuador,egypt,elsalvador,eqguinea,eritrea,estonia,ethiopia,fyromacedonia,fiji,finland,france,gabon,gambia,georgia,germany,ghana,greece,grenada,guatemala,guinea,guineabissau,guyana,haiti,hanover,hesseelect,hessegrand,honduras,hungary,iceland,india,indonesia,iran,iraq,ireland,israel,italy,ivorycoast,jamaica,japan,jordan,kazakhstan,kenya,kiribati,korea,kosovo,kuwait,kyrgyzstan,laos,latvia,lebanon,lesotho,liberia,libya,liechtenstein,lithuania,luxembourg,madagascar,malawi,malaysia,maldives,mali,malta,marshallis,mauritania,mauritius,mecklenburg,mexico,micronesiafs,modena,moldova,monaco,mongolia,morocco,montenegro,mozambique,myanmar,namibia,nauru,nepal,netherlands,newzealand,nicaragua,niger,nigeria,nokorea,norway,nyemen,oman,pakistan,palau,panama,papalstates,papuanewguinea,paraguay,parma,peru,philippines,poland,portugal,qatar,romania,russia,rwanda,svietnam,syemen,sanmarino,saotome,saudiarabia,saxony,senegal,seychelles,sierraleone,singapore,slovakia,slovenia,soafrica,sokorea,sosudan,solomonis,somalia,spain,srilanka,stkitts,stlucia,stvincent,sudan,suriname,swaziland,sweden,switzerland,syria,taiwan,tajikistan,tanzania,thailand,togo,tonga,trinidad,tunisia,turkey,turkmenistan,tuscany,tuvalu,twosicilies,uae,uk,usa,uganda,ukraine,uruguay,uzbekistan,vanuatu,venezuela,vietnam,wgermany,wsamoa,wurtenburg,yemen,yugoslaviaserb,Serbia and Montenegro,Serbia,zaire,zambia,zanzibar,zimbabwe
LOAS,1945,0,0,,,,,0,,0,,,,,,,,,,,0,,,,0,,,0,,0,,,,,,0,,,0,0,0,,,0,,0,,,0,0,,0,,,,0,1,0,,,,0,,,0,0,,,,0,,0,,0,,,,0,,,,0,0,0,,,0,1,0,,0,,,0,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,1,,,,0,,,0,,0,,0,0,,0,0,,,,,,1,,,,,,,,0,,,,,0,,,,,,,,0,0,,,,,0,,,,,0,,,,,,0,0,,,0,,,0,,,,,,0,,,,,,
LOAS,1946,0,0,,,,,0,,0,,,,,,,,,,,0,,,,0,,,0,,0,,,,,,0,,,0,0,0,,,0,,0,,,0,0,,0,,,,0,1,0,,,,0,,,0,0,,,,,,0,,0,,,,0,,,,0,0,0,,,0,1,0,,0,,,,1,,,,,,,,,,1,,0,,,,0,,,,,,,,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,1,,,,0,,,0,,0,0,0,0,,0,0,,,,,,1,,,,,,,,0,,,,,0,,,,,,,,0,0,1,,,,0,,,,,0,,,,,,0,0,,,0,,,0,,,,,,0,,,,,,
LOAS,1947,0,0,,,,,0,,0,,,,,,,,,,,0,,,,0,,,0,,0,,,,,,0,,,0,0,0,,,0,,0,,,0,0,,0,,,,0,1,0,,,,0,,,0,0,,,,,,0,,0,,,,0,,,,0,0,0,0,,0,1,0,,0,,,,1,,,,,,,,,,1,,0,,,,0,,,,,,,,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,1,,0,,0,,,0,,0,0,0,0,,0,0,,,,,,1,,,,,,,,0,,,,,0,,,,,,,,0,0,1,,,,0,,,,,0,,,,,,0,0,,,0,,,0,,,,,,0,,,,,,
LOAS,1948,0,0,,,,,0,,0,,,,,,,,,,,0,,,,0,,,0,,0,,,,,,0,,,0,0,0,,,0,,0,,,0,0,,0,,,,0,1,0,,,,0,,,0,0,,,,,,0,,0,,,,0,,,,0,0,0,0,,0,1,0,0,0,,,,1,,,,,,,,,,1,,0,,,,0,,,,,,,,,,,0,,,,,0,,,,0,,,0,0,0,0,,,0,0,1,,0,,0,,,0,,0,0,0,0,,0,0,,,,,,1,,,,,,,,0,,,,,0,0,,,,,,,0,0,1,,,,0,,,,,0,,,,,,0,0,,,0,,,0,,,,,,0,,,,,,
LOAS,1949,0,0,,,,,0,,0,,,,,,,,,,,0,,,,0,,,0,,0,,,,,,0,,,0,0,0,,,0,,0,,,0,0,,0,,,,0,1,0,,,,0,,,0,0,,,,,,0,,0,,,,0,,,,0,0,0,0,0,0,1,0,0,0,,,,1,,,,,,,,,,1,,0,,,,0,,,,,,,,,,,0,,,,,0,,,,0,,,0,0,0,0,,,0,0,1,,0,,0,,,0,,0,0,0,0,,0,0,,,,,,1,,,,,,,,0,0,,,,0,0,,,,,,,0,0,1,0,,,0,,,,,0,,,,,,0,0,,,0,,,0,,,,,,0,,,,,,
LOAS,1950,0,0,,,,,0,,0,,,,,,,,,,,0,,,,0,,,0,,0,,,,,,0,,,0,0,0,,,0,,0,,,0,0,,0,,,,0,1,0,,,,0,,,0,0,,,,,,0,,0,,,,0,,,,0,0,0,0,0,0,1,0,0,0,,,,1,,,,,,,,,,1,,0,,,,0,,,,,,,,,,,0,,,,,0,,,,0,,,0,0,0,0,,,0,0,1,,0,,0,,,0,,0,0,0,0,,0,0,,,,,,1,,,,,,,,0,0,,,,0,0,,,,,,,0,0,1,0,,,0,,,,,0,,,,,,0,0,,,0,,,0,,,,,,0,,,,,,
LOAS,1951,0,0,,,,,0,,0,,,,,,,,,,,0,,,,0,,,0,,0,,,,,,0,,,0,0,0,,,0,,0,,,0,0,,0,,,,0,1,0,,,,0,,,0,0,,,,,,0,,0,,,,0,,,,0,0,0,0,0,0,1,0,0,0,,,,1,,,,,,,,,,1,,0,0,,,0,,,,,,,,,,,0,,,,,0,,,,0,,,0,0,0,0,,,0,0,1,,0,,0,,,0,,0,0,0,0,,0,0,,,,,,1,,,,,,,,0,0,,,,0,0,,,,,,,0,0,1,0,,,0,,,,,0,,,,,,0,0,,,0,,,0,,,,,,0,,,,,,
LOAS,1952,0,0,,,,,0,,0,,,,,,,,,,,0,,,,0,,,0,,0,,,,,,0,,,0,0,0,,,0,,0,,,0,0,,0,,,,0,1,0,,,,0,,,0,0,,,,,,0,,0,,,,0,,,,0,0,0,0,0,0,1,0,0,0,,,0,1,,,,,,,,,,1,,0,0,,,0,,,,,,,,,,,0,,,,,0,,,,0,,,0,0,0,0,,,0,0,1,,0,,0,,,0,,0,0,0,0,,0,0,,,,,,1,,,,,,,,0,0,,,,0,0,,,,,,,0,0,1,0,,,0,,,,,0,,,,,,0,0,,,0,,,0,,,,,,0,,,,,,
LOAS,1953,0,0,,,,,0,,0,,,,,,,,,,,0,,,,0,,,0,,0,,,,0,,0,,,0,0,0,,,0,,0,,,0,0,,0,,,,0,1,0,,,,0,,,0,0,,,,,,0,,0,,,,0,,,,0,0,0,0,0,0,1,0,0,0,,,0,1,,,,,,,,0,,1,,0,1,,,0,,,,,,,,,,,0,,,,,0,,,,0,,,0,0,0,0,,,0,0,1,,0,,0,,,0,,0,0,0,0,,0,0,,,,,,1,,,,,,,,0,0,,,,0,0,,,,,,,0,0,1,0,,,0,,,,,0,,,,,,0,0,,,0,,,0,,,,,,0,,,,,,
LOAS,1954,0,0,,,,,0,,0,,,,,,,,,,,0,,,,0,,,0,,0,,,,0,,0,,,0,0,0,,,0,,0,,,0,0,,0,,0,,0,1,0,,,,0,,,0,0,,,,,,0,,0,,,,0,,,,0,0,0,0,0,0,1,0,0,0,,,0,1,,,,,,,,0,,1,,0,1,,,0,,,,,,,,,,,0,,,,,0,,,,0,,,0,0,0,0,,,0,0,1,,0,,0,,,0,,0,0,0,0,,0,0,,0,,,,1,,,,,,,,0,0,,,,0,0,,,,,,,0,0,1,0,,,0,,,,,0,,,,,,0,0,,,0,,,0,0,,,,,0,,,,,,
