HMIID,YEAR,WBCC,COWCC,UCDPID,ACTORID,STATUS,HMISTART,HMISTAPR,HMIEND,HMIENDPR,ENDTYPE,VIOSTART,VIOSTAPR,VIOEND,VIOENDPR,VIODURAT,CONFLICT,VIOLENCE,ISSUE,NONSTATE,POLARITY,FATALITY,AREA,AREAA,POPULAT,POPULATA,REGION,MEDIATE6,MEDIATEI,ACCORD6,ACCORDI,EMBARGO6,EMBARGOI,COLDWAR,UNSC,REGIOORG,GOVTPERM,INTERVEN1,I1CCC,P5,INTERVEN2,I2CCC,INTERVEN3,I3CCC,COLONY2,SAVING,TARGET,TATROOP,ACTIVE,FORCE,INTERPOS,STARINTE,ENDINTE,DISARM,STARDISA,ENDDISA,CIVILIAN,STARCIVI,ENDCIVI,HUMANAID,STARHUMA,ENDHUMA,NOFLY,STARFLY,ENDFLY,SAFEAREA,STARAREA,ENDAREA,ENFORCE,STARENFO,ENDENFO,LOST,STARLOST,ENDLOST,REGIME,STARREGI,ENDREGI,GROUNDFO,GROUNDNO,GROUNDPO,GROUNDPOA,GROUNDAR,GROUNDARA,AIRFORCE,VIOLAREA,COUNTTRO,IDTROOPS,COUNTARM,IDARMS,CONTRA0,CONTRA1,CONTRA2,CONTRA3,CONTRA4,CONTRA5,CONTRA6,CONTRA7,ENDVIOL,FATAL1,FATALITYIY,FATAL2IY,FATALPRE,LOSSES,NEWVIOL,NEWFATAL,DISLOCATE
Afghanistan 2003-2014 ,2003,AFG,700,333,"130, 303, 769, 299, 292, 378, 302, 379, 801, 376, 375, 377, 388, 9999",1,11/08/2003,1,31/12/2014,1,3,26/09/1996,1,0,-88,82,1,0,2,1,3,37985,653000,653000,23100000,23100000,3,0,1,0,0,1,1,0,2,0,2,NATO,1060,1,Australia,900,-99,-99,0,1,2,50000,1,1,0,-88,-88,0,-88,-88,1,11/08/2003,31/12/2014,0,-88,-88,0,-88,-88,0,-88,-88,0,-88,-88,1,11/08/2003,31/12/2014,0,-88,-88,1,5500,24,24,8,8,1,2,0,-88,1,Pakistan,1,0,0,0,0,0,0,0,0,15.13,450,3.17,1,3354,-88,-99,0
Afghanistan 2003-2014 ,2004,AFG,700,333,"130, 303, 769, 299, 292, 378, 302, 379, 801, 376, 375, 377, 388, 9999",1,11/08/2003,1,31/12/2014,1,3,26/09/1996,1,0,-88,82,1,0,2,1,3,37985,653000,653000,24100000,24100000,3,0,0,0,0,1,1,0,2,0,2,NATO,1060,1,Australia,900,-99,-99,0,1,2,50000,1,1,0,-88,-88,1,01/01/2004,31/03/2011,1,11/08/2003,31/12/2014,1,01/01/2004,31/12/2014,0,-88,-88,0,-88,-88,0,-88,-88,1,11/08/2003,31/12/2014,0,-88,-88,1,7144,30,30,11,11,1,2,0,-88,1,Pakistan,1,0,0,0,0,0,0,0,0,15.13,817,2.23,1,3354,-88,-99,0
Afghanistan 2003-2014,2005,AFG,700,333,"130, 303, 769, 299, 292, 378, 302, 379, 801, 376, 375, 377, 388, 9999",1,11/08/2003,1,31/12/2014,1,3,26/09/1996,1,0,-88,82,1,0,2,1,3,37985,653000,653000,25100000,25100000,3,0,0,0,0,1,1,0,2,0,2,NATO,1060,1,Australia,900,-99,-99,0,1,2,50000,1,1,0,-88,-88,1,01/01/2004,31/03/2011,1,11/08/2003,31/12/2014,1,01/01/2004,31/12/2014,0,-88,-88,0,-88,-88,0,-88,-88,1,11/08/2003,31/12/2014,0,-88,-88,1,8682,35,35,13,13,1,2,0,-88,1,Pakistan,1,0,0,0,0,0,0,0,0,15.13,1711,4.69,1,3354,-88,-99,0
Afghanistan 2003-2014 ,2006,AFG,700,333,"130, 303, 769, 299, 292, 378, 302, 379, 801, 376, 375, 377, 388, 9999",1,11/08/2003,1,31/12/2014,1,3,26/09/1996,1,0,-88,82,1,0,2,1,3,37985,653000,653000,25900000,25900000,3,0,0,0,0,1,1,0,2,0,2,NATO,1060,1,Australia,900,-99,-99,0,1,2,50000,1,1,0,-88,-88,1,01/01/2004,31/03/2011,1,11/08/2003,31/12/2014,1,01/01/2004,31/12/2014,0,-88,-88,0,-88,-88,0,-88,-88,1,11/08/2003,31/12/2014,0,-88,-88,1,10712,41,41,16,16,1,2,0,-88,1,Pakistan,1,0,0,0,0,0,0,0,0,15.13,4982,13.65,1,3354,-88,-99,0
Afghanistan 2003-2014 ,2007,AFG,700,333,"130, 303, 769, 299, 292, 378, 302, 379, 801, 376, 375, 377, 388, 9999",1,11/08/2003,1,31/12/2014,1,3,26/09/1996,1,0,-88,82,1,0,2,1,3,37985,653000,653000,26600000,26600000,3,0,0,0,0,1,1,0,2,0,2,NATO,1060,1,Australia,900,Macedonia,343,0,1,2,50000,1,1,0,-88,-88,1,01/01/2004,31/03/2011,1,11/08/2003,31/12/2014,1,01/01/2004,31/12/2014,0,-88,-88,0,-88,-88,0,-88,-88,1,11/08/2003,31/12/2014,0,-88,-88,1,41700,157,157,64,64,1,2,0,-88,1,Pakistan,1,0,0,0,0,0,0,0,0,15.13,7020,19.23,1,3354,-88,-99,0
Afghanistan 2003-2014 ,2008,AFG,700,333,"130, 303, 769, 299, 292, 378, 302, 379, 801, 376, 375, 377, 388, 9999",1,11/08/2003,1,31/12/2014,1,3,26/09/1996,1,0,-88,82,1,0,2,1,3,37985,653000,653000,27300000,27300000,3,0,1,0,0,1,1,0,2,0,2,NATO,1060,1,Australia,900,New Zealand,920,0,1,2,50000,1,1,0,-88,-88,1,01/01/2004,31/03/2011,1,11/08/2003,31/12/2014,1,01/01/2004,31/12/2014,0,-88,-88,0,-88,-88,0,-88,-88,1,11/08/2003,31/12/2014,0,-88,-88,1,51350,188,188,79,79,1,2,0,-88,1,Pakistan,1,0,0,0,0,0,0,0,0,15.13,5660,15.46,1,3354,-88,-99,0
Afghanistan 2003-2014 ,2009,AFG,700,333,"130, 303, 769, 299, 292, 378, 302, 379, 801, 376, 375, 377, 388, 9999",1,11/08/2003,1,31/12/2014,1,3,26/09/1996,1,0,-88,82,1,0,2,1,3,37985,653000,653000,28000000,28000000,3,0,1,0,0,1,1,0,2,0,2,NATO,1060,1,Australia,900,New Zealand,920,0,1,2,50000,1,1,0,-88,-88,1,01/01/2004,31/03/2011,1,11/08/2003,31/12/2014,1,01/01/2004,31/12/2014,0,-88,-88,0,-88,-88,0,-88,-88,1,11/08/2003,31/12/2014,0,-88,-88,1,67700,242,242,104,104,1,2,0,-88,1,Pakistan,1,0,0,0,0,0,0,0,0,15.13,6499,17.81,1,3354,-88,-99,0
Afghanistan 2003-2014 ,2010,AFG,700,333,"130, 303, 769, 299, 292, 378, 302, 379, 801, 376, 375, 377, 388, 9999",1,11/08/2003,1,31/12/2014,1,3,26/09/1996,1,0,-88,82,1,0,2,1,3,37985,653000,653000,28800000,28800000,3,0,0,0,0,1,1,0,2,0,2,NATO,1060,1,Australia,900,Georgia,372,0,1,2,50000,1,1,0,-88,-88,1,01/01/2004,31/03/2011,1,11/08/2003,31/12/2014,1,01/01/2004,31/12/2014,0,-88,-88,0,-88,-88,0,-88,-88,1,11/08/2003,31/12/2014,0,-88,-88,1,130930,455,455,201,201,1,2,0,-88,1,Pakistan,1,0,0,0,0,0,0,0,0,15.13,7151,19.59,1,3354,-88,-99,0
Afghanistan 2003-2014 ,2011,AFG,700,333,"130, 303, 769, 299, 292, 378, 302, 379, 801, 376, 375, 377, 388, 9999",1,11/08/2003,1,31/12/2014,1,3,26/09/1996,1,0,-88,82,1,0,2,1,3,37985,653000,653000,29700000,29700000,3,0,0,0,0,1,1,0,2,0,2,NATO,1060,1,Australia,900,Georgia,372,0,1,2,50000,1,1,0,-88,-88,1,01/01/2004,31/03/2011,1,11/08/2003,31/12/2014,1,01/01/2004,31/12/2014,0,-88,-88,0,-88,-88,0,-88,-88,1,11/08/2003,31/12/2014,0,-88,-88,1,132457,446,446,203,203,1,2,0,-88,1,Pakistan,1,0,0,0,0,0,0,0,0,15.13,7565,20.73,1,3354,-88,-99,0
Afghanistan 2003-2014 ,2012,AFG,700,333,"130, 303, 769, 299, 292, 378, 302, 379, 801, 376, 375, 377, 388, 9999",1,11/08/2003,1,31/12/2014,1,3,26/09/1996,1,0,-88,82,1,0,2,1,3,37985,653000,653000,30700000,30700000,3,0,0,0,0,1,1,0,2,0,2,NATO,1060,1,Georgia,372,Australia,900,0,1,2,50000,1,1,0,-88,-88,0,-88,-88,1,11/08/2003,31/12/2014,1,01/01/2004,31/12/2014,0,-88,-88,0,-88,-88,0,-88,-88,1,11/08/2003,31/12/2014,0,-88,-88,1,129469,422,422,198,198,1,2,0,-88,1,Pakistan,1,0,0,0,0,0,0,0,0,15.13,7822,21.37,1,3354,-88,-99,0
