Country,Cowcode,Year,Independent Country?,other,shia,sunni,muslim,orthodox,romancatholic,christian,protestant,traditionalbelief,jewish,yezidi,buddhist,hindu,bahai,sikh,nonreligious,coptic,jain,zoroastrian,druze,ibadiyah,taoism,chondogyo,confucian,wonbulgyo,ikuantao,caodai,hoahoa
United States of America,2,1945,1,0.6035843,,,0.1607686,2.758447,23.89974,,66.70261,,3.926519,,,,,,1.948333,,,,,,,,,,,,
United States of America,2,1946,1,0.8370132,,,0.1667512,2.717993,23.90109,,66.48887,,3.870027,,,,,,2.018253,,,,,,,,,,,,
United States of America,2,1947,1,1.067093,,,0.1729562,2.678115,23.90245,,66.27444,,3.814314,,,,,,2.090627,,,,,,,,,,,,
United States of America,2,1948,1,1.293732,,,0.1793915,2.638807,23.90381,,66.05935,,3.759373,,,,,,2.16554,,,,,,,,,,,,
United States of America,2,1949,1,1.516853,,,0.1860659,2.60006,23.90517,,65.84359,,3.705192,,,,,,2.243075,,,,,,,,,,,,
United States of America,2,1950,1,1.736374,,,0.1929882,2.561867,23.90652,,65.62717,,3.651762,,,,,,2.323321,,,,,,,,,,,,
United States of America,2,1951,1,1.952187,,,0.2001674,2.524221,23.90788,,65.4101,,3.599075,,,,,,2.406367,,,,,,,,,,,,
United States of America,2,1952,1,2.164223,,,0.2076132,2.487113,23.90924,,65.19239,,3.547119,,,,,,2.492305,,,,,,,,,,,,
United States of America,2,1953,1,2.372375,,,0.2153354,2.450538,23.91059,,64.97404,,3.495887,,,,,,2.581231,,,,,,,,,,,,
United States of America,2,1954,1,2.576546,,,0.2233441,2.414487,23.91195,,64.75506,,3.445367,,,,,,2.673244,,,,,,,,,,,,
United States of America,2,1955,1,2.776634,,,0.2316499,2.378953,23.91331,,64.53546,,3.395552,,,,,,2.768443,,,,,,,,,,,,
United States of America,2,1956,1,2.972527,,,0.2402639,2.34393,23.91467,,64.31525,,3.346432,,,,,,2.866932,,,,,,,,,,,,
United States of America,2,1957,1,3.164131,,,0.2491975,2.309411,23.91602,,64.09442,,3.297999,,,,,,2.968818,,,,,,,,,,,,
United States of America,2,1958,1,3.351311,,,0.2584624,2.275388,23.91738,,63.873,,3.250244,,,,,,3.074211,,,,,,,,,,,,
United States of America,2,1959,1,3.533966,,,0.2680708,2.241854,23.91874,,63.65099,,3.203156,,,,,,3.183222,,,,,,,,,,,,
United States of America,2,1960,1,3.711967,,,0.2780354,2.208804,23.9201,,63.4284,,3.156729,,,,,,3.295967,,,,,,,,,,,,
United States of America,2,1961,1,3.885201,,,0.2883693,2.17623,23.92145,,63.20523,,3.110953,,,,,,3.412566,,,,,,,,,,,,
United States of America,2,1962,1,4.053528,,,0.2990862,2.144126,23.92281,,62.98149,,3.06582,,,,,,3.533138,,,,,,,,,,,,
United States of America,2,1963,1,4.21682,,,0.3101999,2.112485,23.92417,,62.75719,,3.02132,,,,,,3.657808,,,,,,,,,,,,
United States of America,2,1964,1,4.374947,,,0.3217255,2.081301,23.92553,,62.53235,,2.977448,,,,,,3.786705,,,,,,,,,,,,
United States of America,2,1965,1,4.527756,,,0.3336779,2.050568,23.92689,,62.30696,,2.934193,,,,,,3.91996,,,,,,,,,,,,
United States of America,2,1966,1,4.67511,,,0.3460727,2.02028,23.92824,,62.08104,,2.891547,,,,,,4.057705,,,,,,,,,,,,
United States of America,2,1967,1,4.816872,,,0.3589263,1.990429,23.9296,,61.85459,,2.849504,,,,,,4.200079,,,,,,,,,,,,
United States of America,2,1968,1,4.952866,,,0.3722556,1.961011,23.93096,,61.62763,,2.808053,,,,,,4.347223,,,,,,,,,,,,
United States of America,2,1969,1,5.082962,,,0.3860779,1.932019,23.93232,,61.40015,,2.767189,,,,,,4.49928,,,,,,,,,,,,
United States of America,2,1970,1,5.206978,,,0.4004112,1.903447,23.93368,,61.17219,,2.726902,,,,,,4.656396,,,,,,,,,,,,
United States of America,2,1971,1,5.324768,,,0.4152746,1.87529,23.93503,,60.94373,,2.687187,,,,,,4.818722,,,,,,,,,,,,
United States of America,2,1972,1,5.43615,,,0.4306874,1.847542,23.93639,,60.71479,,2.648034,,,,,,4.986411,,,,,,,,,,,,
United States of America,2,1973,1,5.540955,,,0.4466696,1.820196,23.93775,,60.48537,,2.609435,,,,,,5.15962,,,,,,,,,,,,
United States of America,2,1974,1,5.639015,,,0.4632422,1.793248,23.93911,,60.2555,,2.571385,,,,,,5.338506,,,,,,,,,,,,
United States of America,2,1975,1,5.730133,,,0.4804266,1.766692,23.94047,,60.02517,,2.533875,,,,,,5.523233,,,,,,,,,,,,
United States of America,2,1976,1,5.814148,,,0.4982454,1.740522,23.94183,,59.7944,,2.496898,,,,,,5.713967,,,,,,,,,,,,
United States of America,2,1977,1,5.890854,,,0.5167216,1.714733,23.94318,,59.56319,,2.460448,,,,,,5.910876,,,,,,,,,,,,
United States of America,2,1978,1,5.96006,,,0.5358791,1.689319,23.94454,,59.33155,,2.424515,,,,,,6.11413,,,,,,,,,,,,
United States of America,2,1979,1,6.021576,,,0.555743,1.664276,23.9459,,59.09951,,2.389095,,,,,,6.323903,,,,,,,,,,,,
United States of America,2,1980,1,6.075203,,,0.5763391,1.639597,23.94726,,58.86705,,2.35418,,,,,,6.540371,,,,,,,,,,,,
United States of America,2,1981,1,6.120728,,,0.5976938,1.615279,23.94862,,58.6342,,2.319763,,,,,,6.763716,,,,,,,,,,,,
United States of America,2,1982,1,6.157959,,,0.6198348,1.591316,23.94998,,58.40096,,2.285837,,,,,,6.994116,,,,,,,,,,,,
United States of America,2,1983,1,6.186676,,,0.6427908,1.567702,23.95134,,58.16734,,2.252397,,,,,,7.231755,,,,,,,,,,,,
United States of America,2,1984,1,6.206665,,,0.6665912,1.544433,23.95269,,57.93336,,2.219434,,,,,,7.476821,,,,,,,,,,,,
United States of America,2,1985,1,6.217712,,,0.6912664,1.521504,23.95405,,57.69902,,2.186943,,,,,,7.729498,,,,,,,,,,,,
United States of America,2,1986,1,6.219597,,,0.7168488,1.498911,23.95541,,57.46434,,2.154917,,,,,,7.989977,,,,,,,,,,,,
United States of America,2,1987,1,6.21209,,,0.7433708,1.476648,23.95677,,57.22932,,2.123349,,,,,,8.258449,,,,,,,,,,,,
United States of America,2,1988,1,6.194984,,,0.7708665,1.454711,23.95813,,56.99397,,2.092235,,,,,,8.535106,,,,,,,,,,,,
United States of America,2,1989,1,6.168037,,,0.799371,1.433095,23.95949,,56.7583,,2.061566,,,,,,8.820138,,,,,,,,,,,,
United States of America,2,1990,1,6.131027,,,0.8289207,1.411795,23.96085,,56.52233,,2.031338,,,,,,9.11374,,,,,,,,,,,,
United States of America,2,1991,1,6.083717,,,0.8595533,1.390807,23.96221,,56.28606,,2.001545,,,,,,9.416106,,,,,,,,,,,,
United States of America,2,1992,1,6.025879,,,0.8913077,1.370128,23.96357,,56.0495,,1.972179,,,,,,9.727433,,,,,,,,,,,,
United States of America,2,1993,1,5.957275,,,0.9242238,1.349751,23.96493,,55.81268,,1.943236,,,,,,10.04791,,,,,,,,,,,,
United States of America,2,1994,1,5.877678,,,0.9583443,1.329674,23.96629,,55.57558,,1.914708,,,,,,10.37773,,,,,,,,,,,,
United States of America,2,1995,1,5.786835,,,0.9937118,1.309891,23.96765,,55.33823,,1.886592,,,,,,10.71709,,,,,,,,,,,,
United States of America,2,1996,1,5.684525,,,1.030371,1.290399,23.96901,,55.10064,,1.858881,,,,,,11.06617,,,,,,,,,,,,
United States of America,2,1997,1,5.570511,,,1.068368,1.271193,23.97037,,54.86282,,1.831569,,,,,,11.42517,,,,,,,,,,,,
United States of America,2,1998,1,5.444557,,,1.10775,1.252269,23.97173,,54.62477,,1.804651,,,,,,11.79427,,,,,,,,,,,,
United States of America,2,1999,1,5.306427,,,1.148568,1.233623,23.97309,,54.38651,,1.778122,,,,,,12.17366,,,,,,,,,,,,
United States of America,2,2000,1,5.155891,,,1.19087,1.215252,23.97444,,54.14806,,1.751976,,,,,,12.56351,,,,,,,,,,,,
United States of America,2,2001,1,4.992714,,,1.234712,1.197151,23.97581,,53.9094,,1.726207,,,,,,12.96401,,,,,,,,,,,,
United States of America,2,2002,1,4.816666,,,1.280147,1.179317,23.97717,,53.67057,,1.70081,,,,,,13.37532,,,,,,,,,,,,
United States of America,2,2003,1,4.627533,,,1.327231,1.161744,23.97853,,53.43158,,1.675782,,,,,,13.79761,,,,,,,,,,,,
United States of America,2,2004,1,4.425079,,,1.376023,1.144431,23.97989,,53.19242,,1.651115,,,,,,14.23104,,,,,,,,,,,,
United States of America,2,2005,1,4.209106,,,1.426583,1.127373,23.98124,,52.95312,,1.626805,,,,,,14.67577,,,,,,,,,,,,
