,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Total
Afghanistan,9,149,124,,,90,230,75,281,360,352,382,294,236,368,153,284,561,1047,2151,1865,1411,,,,,,,,,,,34,,,33,3,39,145,324,360,628,519,255,317,139,169,236,313,383,234,65,,14618
African Union**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,9,,10,,,,,2,,2,,,0,3,,,,78
Albania,250,332,134,106,137,53,5,7,5,,,,,,,,,,,,,,,,,26,,,,,,,,2,,7,,5,,,,,15,7,7,7,,2,2,5,1,,,1114
Algeria,14,14,180,110,13,56,130,1048,1264,1823,1342,1386,1357,697,656,368,146,367,319,455,733,1035,23,22,186,299,83,37,98,370,402,539,249,195,242,159,340,507,1517,1070,831,1132,660,361,710,894,2911,1133,1282,167,675,237,158,31001
Amal (Lebanon)*,,,,,,,,,,,,,,,,29,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
ANC (South Africa)*,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Angola,,,,,1,241,181,105,146,111,153,241,379,574,479,528,703,1186,965,152,140,,,122,111,1,44,7,149,358,147,156,148,48,8,38,7,31,29,20,,,,30,2,49,152,110,272,169,51,,46,8588
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Argentina,257,376,402,243,440,260,489,194,424,441,440,851,407,1316,727,485,219,217,71,14,159,,27,,209,43,28,105,171,276,207,6,15,11,161,3,9,24,21,15,11,15,5,13,6,21,17,45,17,49,7,77,39,10084
Armenia,,,,,,,,,,,,,,,,,,,,,,,,2,181,47,70,,,2,,,,,118,,,1,,46,52,5,,16,,,110,18,,248,,32,27,975
Australia,230,313,63,716,898,108,91,278,1029,192,404,449,129,632,622,511,815,592,743,692,352,213,364,448,262,64,597,35,542,678,326,1217,643,782,464,463,731,681,444,791,1525,1527,819,219,883,1465,1026,1664,1582,1186,1655,1260,761,35176
Austria,99,123,93,22,22,6,12,,8,72,195,73,97,145,13,28,19,7,117,84,5,6,5,8,38,22,9,182,228,48,25,15,81,41,56,26,5,269,190,286,7,8,8,6,2,1,13,10,6,17,13,34,4,2909
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,50,25,,,,,,3,,89,,4,53,159,213,33,145,157,560,378,385,621,328,274,290,365,44,37,,,4213
Bahamas,,,,,,,,,11,,,,,,,,33,,,,2,3,,,,,,,,,33,,,,,3,,,,1,,,,,30,16,20,12,,,,,,163
Bahrain,,0,7,0,1,,,2,12,10,22,40,55,10,131,55,134,250,136,71,362,68,42,1,8,71,51,198,8,,299,28,54,1,10,66,63,27,21,,100,4,24,69,1,17,25,27,72,17,27,183,364,3244
Bangladesh,,10,2,76,44,39,70,62,45,1,55,62,128,109,59,81,4,1,242,302,188,79,113,47,61,119,7,26,1,186,203,279,33,8,32,10,221,88,12,,36,117,184,650,203,636,449,331,155,714,59,73,184,6890
Barbados,,,,,,,,,,,,9,,,1,,,,,,,,,,,,,,,,,,,,,,,10,10,10,,,,,,,,,,,,,,40
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,41,,,,,,6,140,,,3,,75,75,75,66,98,117,147,142,333,13,69,225,1666
Belgium,514,499,492,580,113,130,184,187,412,792,577,521,438,583,575,287,91,91,407,203,314,125,48,73,47,16,3,50,55,58,35,29,48,21,15,3,15,171,191,86,35,23,29,45,100,55,4,7,1,9,90,255,158,9888
Belize,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,2,,,,,,,4
Benin,0,2,,1,,,,,26,6,,,10,3,1,3,,1,0,0,,,,,,,1,,,,,,7,,,,,3,,1,0,0,20,2,,,1,,,,1,,1,90
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1,1,,,,,4,,6
Bolivia,2,2,12,16,23,17,16,1,11,52,39,28,2,,,18,15,,56,66,,11,25,16,9,2,,,,9,19,,,5,1,1,9,2,3,5,1,25,12,1,46,,27,7,1,34,26,,,674
Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,6,6,,58,76,2,25,,,,,,,,,,,,,,,,,,0,,0,0,12,,186
Botswana,,,,,,,,1,1,7,2,11,,,,4,,26,40,4,22,2,2,11,,11,32,71,2,,53,15,1,10,9,,,,,10,10,,6,8,,,5,,5,8,85,32,13,520
Brazil,219,179,518,598,256,539,571,545,872,394,356,61,72,87,119,83,135,230,125,738,136,168,84,49,306,239,536,465,232,376,137,631,223,110,85,223,178,188,178,135,256,239,319,223,205,217,111,94,262,139,140,247,472,14299
Brunei,5,18,2,1,15,1,0,,46,64,,8,12,85,60,,13,,,,4,4,,,,,17,31,7,4,,5,1,0,0,1,1,,,33,33,229,20,15,121,36,,,,,,0,,893
Bulgaria,764,400,471,292,302,390,368,492,876,323,580,984,610,764,943,600,920,437,246,336,759,340,42,1,1,1,122,,,7,,,,2,12,132,22,48,117,119,8,29,5,,,5,,,,2,44,1,4,12917
Burkina Faso,1,1,,,,14,8,9,,,0,9,1,16,9,2,3,,12,,,2,,7,,,,,,0,,,,,,12,4,4,,3,0,15,3,,,5,7,2,23,7,2,28,1,208
Burundi,,,,0,,,,,,,1,5,3,11,2,,,,,6,6,,,,,,,,,,,1,3,,,,,,,1,2,,5,,,1,3,,,2,,,,54
Cabo Verde,,,,,,,2,,,18,,,26,,,,,,,,,,7,,,,,,9,,1,,,,,,,,,2,,,10,,,,,,,3,,,,76
Cambodia,6,22,106,123,23,,,,43,,34,,,13,67,68,134,50,10,119,45,,,2,72,1,26,21,,,,,,,,,14,56,,4,34,,77,67,,,,,5,1,,28,14,1284
Cameroon,,8,1,12,,,29,73,,1,,28,113,5,126,16,11,5,1,3,8,,3,,,,4,6,9,4,,6,10,,,5,2,,1,,10,,9,139,122,9,20,8,2,4,0,3,2,818
Canada,623,455,376,78,224,195,53,90,130,190,441,452,276,649,646,848,810,787,712,37,150,752,407,196,473,405,419,351,115,192,576,538,436,153,353,118,113,481,423,104,241,356,207,202,316,408,252,369,184,178,220,256,155,18166
Central African Republic,,2,,0,,,,,0,,0,1,2,6,1,6,,,2,,,,1,,,,,,,,,,,,,,9,,0,,,7,,,,,,,2,,1,1,,41
Chad,,4,,3,13,10,8,3,,,10,,,36,9,1,29,28,9,56,,,,,3,1,,,7,7,,16,,,,,17,29,82,36,42,1,4,59,58,1,2,6,7,1,4,43,4,646
Chile,57,198,51,278,292,184,415,58,157,138,147,148,343,140,448,8,171,154,84,140,135,109,170,85,81,332,164,285,88,207,226,60,74,187,70,446,1093,655,391,328,473,327,62,55,140,145,40,49,73,33,295,57,212,10758
China,2,2,2,3,3,3,3,75,86,10,6,2,13,25,71,113,20,56,104,199,306,477,1211,1243,320,716,1511,945,401,1746,2517,2805,2865,2325,3225,3481,2840,1642,1808,1403,942,1054,1573,1293,1082,1231,1143,1306,2119,1503,884,981,807,50501
Colombia,4,36,167,159,1,287,10,8,12,36,12,28,18,303,662,7,6,4,37,218,13,72,36,68,42,35,49,190,162,44,60,268,170,145,18,18,54,226,109,249,261,145,207,171,167,193,18,91,16,22,77,44,44,5499
Comoros,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,6,,,,1,,,,,,,,,,,9
Congo,9,27,2,,7,2,2,,35,25,17,3,11,25,25,3,,,28,44,44,18,,,,,,27,0,1,0,,,8,7,4,1,0,,4,28,5,23,33,6,2,,,0,3,,3,,483
Contras (Nicaragua)*,,,,,,,,,,,,,,7,1,,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Costa Rica,,,,1,,3,,,6,2,0,,,,0,1,1,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,0,8,,,,27
Cote d'Ivoire,7,17,1,,18,,,22,16,38,55,18,,,9,,,,,2,,,0,,,2,,0,,2,0,,31,61,9,,,,,,,,,,6,5,5,14,9,15,3,10,16,393
Croatia,,,,,,,,,,,,,,,,,,,,,,1,27,27,53,1,12,41,,,,57,2,24,8,,,19,99,4,11,19,19,,27,11,20,13,2,5,,,29,530
Cuba,155,162,452,420,408,200,316,609,503,410,349,964,964,770,426,352,281,73,167,94,169,159,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,8409
Cyprus,,,,9,,,,,,,,,5,19,24,33,40,34,124,28,70,83,26,10,39,33,170,98,7,113,4,180,66,6,16,18,20,17,,,44,41,6,,,,,30,,19,30,11,,1471
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,6,0,1,13,57,42,94,6,592,46,10,25,6,13,71,22,15,,0,,,7,1,9,33,69,1165
Czechoslovakia,743,1100,956,1058,1087,837,213,300,560,498,468,824,897,806,919,1160,808,663,588,873,277,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15692
Darfur rebels (Sudan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,1
Denmark,312,362,111,,39,149,356,368,362,57,483,479,473,231,72,89,16,99,98,187,128,154,72,51,88,134,75,77,116,70,50,146,40,50,232,116,84,133,93,130,17,,101,38,165,42,101,52,49,43,62,303,145,7499
Djibouti,,,,,,,,3,6,36,5,2,3,3,,1,8,1,,,,1,19,5,,2,,,,,1,,3,,4,7,,,,,,,6,5,15,1,10,,,8,1,45,17,217
Dominican Republic,1,2,7,0,,2,12,,,,9,5,31,,25,2,0,,3,,,,,,,,4,,6,1,13,5,0,8,35,2,,,,10,50,12,,,,1,0,,,,4,,5,256
DR Congo,19,165,15,5,9,445,132,31,38,15,10,12,15,5,16,1,1,36,1,,5,,2,,,0,61,6,10,46,88,11,18,,,26,24,,18,37,151,,10,1,,3,43,,1,,6,,1,1540
East Germany (GDR),832,573,994,1058,936,560,1316,1092,1149,941,909,824,1065,933,1140,1376,680,376,606,641,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18400
Ecuador,5,85,41,15,22,40,225,571,192,110,296,152,257,388,349,23,25,40,26,20,3,136,4,18,13,44,29,99,31,16,,10,1,,15,47,47,2,102,77,89,68,88,11,53,27,26,20,5,3,21,14,1,4001
Egypt,1674,1984,3256,2556,1077,565,159,410,135,630,1001,1176,2493,1692,1511,974,1486,1648,427,297,563,887,973,1257,2020,1703,969,1040,482,517,834,829,718,632,653,799,724,692,335,161,688,632,283,678,430,1444,1643,2340,1638,1157,1403,1287,701,56257
ELF (Ethiopia)*,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
El Salvador,9,1,,1,29,46,19,10,3,11,12,5,32,15,60,41,5,,,,,21,4,2,,4,4,,2,,,,19,10,,,,,3,,,,2,,20,,,1,1,2,4,4,7,411
EPLF (Ethiopia)*,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Equatorial Guinea,,,,,,,,,4,,1,,5,,,,,,,,,,,,,,,,,3,,7,,,7,11,7,28,30,68,3,56,60,2,92,,,,18,,,0,,400
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,21,18,7,41,53,214,31,20,57,18,17,80,98,,4,,,,,,,,,,,,,,,,679
Estonia,,,,,,,,,,,,,,,,,,,,,,,2,3,15,17,1,12,4,1,27,,1,13,8,18,4,18,28,42,13,1,2,18,2,18,29,33,17,18,25,18,17,426
eSwatini,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2,,,10
Ethiopia,89,54,53,5,16,58,135,1107,965,113,330,328,516,353,273,247,348,239,155,47,2,80,,,,,,69,211,155,117,,20,174,239,,,,,,54,76,193,154,33,10,55,51,12,74,24,11,35,7281
