,LR Fold 1,RF Fold 1,GBM Fold 1,LR Fold 2,RF Fold 2,GBM Fold 2,LR Fold 3,RF Fold 3,GBM Fold 3,LR Fold 4,RF Fold 4,GBM Fold 4,LR Fold 5,RF Fold 5,GBM Fold 5
Fragility,,0.03915003680457706,0.009050887362769922,,0.03599118162696069,0.003838634989748644,,0.04303828379480614,0.03739589557354624,,0.04393650947454016,0.05011134106079322,,0.04491109052374255,0.024828785452744945
Durability,,0.06628460149968196,0.05118943647749126,,0.0761326193437549,0.04850956978371812,,0.0792005661694048,0.07955509330297061,,0.07913319581245196,0.07047410844845965,,0.0791272284116361,0.07180520645376139
Democracy,,0.0380259627864354,0.06696266290337774,,0.03440276418875915,0.0490030803764181,,0.030034657044704125,0.043618878621119954,,0.027016960810063228,0.03430811817717557,,0.026280148420348617,0.03752107468955842
FH_pol,,0.023228433436790884,0.0018531557880774427,,0.023891847981562485,0.003002714490040819,,0.019063073496891257,0.0009580176653095161,,0.018556116982215754,0.002418222757705636,,0.015128238621648266,0.015924283815798645
FH_civ,,0.021219983931917718,0.008346179783285562,,0.026852244415904974,0.013903021511997458,,0.030033146544807283,0.019276467238409013,,0.026231220391449813,0.010153301531310674,,0.02359952143703993,0.007810874688570493
Inequality,,0.10216701717345755,0.10248463351600932,,0.09130237104277152,0.09454549480254767,,0.08103915522567633,0.05366936086208701,,0.07980686912900266,0.0495823210408664,,0.07941273423692458,0.04883487828619892
Poverty,,0.08568518536071251,0.09325571172667985,,0.07496213811512072,0.04926527336026011,,0.0683174619076949,0.03674251288018355,,0.06759633235171562,0.03947488759120263,,0.07309988593934208,0.047627757404330846
Inflation,,0.07535295455962715,0.09863493552231054,,0.06948632639591854,0.07687527908066201,,0.07677965604926068,0.05190833972564983,,0.0716713195904488,0.050543697607960396,,0.06720801619036192,0.03112531137064433
Intervention,,0.00037916187158571895,0.00020926171339843546,,0.0005152165262646823,0.0003618165191005264,,0.0004156132430392519,1.8598652084280227e-06,,0.0006004897390096071,0.0,,0.0004711523294279485,0.0
Group Intervention,,0.015379252401022081,0.0,,0.016379366307389998,0.017847950827721972,,0.014605515887879188,0.025593862972504842,,0.013479837768428583,0.016488761817647857,,0.012617534787620552,0.017712870658571103
Religious fragmentation,,0.08100051729040537,0.053133295373231075,,0.08668038997115336,0.07356484606711453,,0.07909411445523026,0.09353913875769053,,0.08641127793404939,0.11555944299507513,,0.09661552087672962,0.13255113361224424
Globalization,,0.06364501304638655,0.04263076032218486,,0.05675254088874053,0.04436578563477704,,0.05549622149276641,0.02408714196689265,,0.06244732150853808,0.012315919840761087,,0.06081760247868993,0.025213209173116216
Education,,0.08083657125636937,0.09771750493837017,,0.07863517519571063,0.07751706274965386,,0.08638505116302662,0.06620451816500941,,0.08397880346579786,0.0655559218719826,,0.08434487558186658,0.06379066197471729
GDP,,0.12550814748620773,0.0458981539408102,,0.13682347955214794,0.0713349684384674,,0.12533777294412388,0.071206505526131,,0.14047763341240127,0.07545584480297463,,0.13253387400487324,0.03909446197221725
Population,,0.15324059286864286,0.2791808609227939,,0.17177929209308074,0.3468891903189824,,0.18953508812625533,0.37522650518853506,,0.17767499258125152,0.3961616166274394,,0.18352267599014466,0.4291319855533074
elecsys_Mixed,,0.005539220083846005,0.0,,0.004699702097596343,0.0,,0.0050615510761279695,0.0007261832356659838,,0.004974125795333366,0.0,,0.004922968780261782,0.0
elecsys_Other,,0.0030931896014347766,0.008524884476719003,,0.0009895532665215154,0.0,,0.002933376041533764,0.004601494866722161,,0.001105494042608502,0.0013115005121354473,,0.0015687315039311469,0.0009242586511294352
elecsys_PR,,0.0072668967379800305,0.004261400546448675,,0.004535577623058606,0.00011373162007936378,,0.005428424736352731,0.0003258773603827631,,0.006084850633253202,1.634661045598464e-05,,0.0058405574803439796,0.0
elecsys_Plurality/Majority,,0.012997261802919378,0.03666627468604205,,0.00918821336758273,0.029061579428709995,,0.008201270600418958,0.015362346225981389,,0.008816648577440503,0.010068646706053806,,0.007846605409558578,0.00610324624308905
elecsys_Plurality/Majority and PR,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.00013103699550813113,0.0
Year,,,,,,,,,,,,,,,
Accuracy,0.4339622641509434,0.7547169811320755,0.7484276729559748,0.4088397790055249,0.7955801104972375,0.8011049723756906,0.4947916666666667,0.71875,0.6927083333333334,0.48223350253807107,0.7817258883248731,0.8020304568527918,0.6149068322981367,0.7701863354037267,0.7329192546583851
Precision,0.4339622641509434,0.6785714285714286,0.6629213483146067,0.4088397790055249,0.7681159420289855,0.7567567567567568,0.4947916666666667,0.759493670886076,0.7142857142857143,0.48223350253807107,0.7407407407407407,0.7916666666666666,0.6149068322981367,0.8604651162790697,0.8414634146341463
Recall,1.0,0.8260869565217391,0.855072463768116,1.0,0.7162162162162162,0.7567567567567568,1.0,0.631578947368421,0.631578947368421,1.0,0.8421052631578947,0.8,1.0,0.7474747474747475,0.696969696969697
ROC-AUC,0.8138486312399357,0.831159420289855,0.8317230273752013,0.8002020712301086,0.8303233139681738,0.8411214953271028,0.7720021703743897,0.772924579489962,0.7639717851329356,0.7902992776057791,0.8603715170278639,0.8799793601651187,0.7215705441511894,0.8404203323558164,0.8030303030303031
PR-AUC,0.785499493774324,0.8316183165922207,0.8286109949386824,0.7769696220346884,0.8279779738481664,0.8315365402646743,0.7449953598226926,0.7801159594490517,0.7816381609345255,0.7593415934391093,0.8626543615472841,0.8867020796149976,0.7837211347017163,0.8761405571451988,0.8660177725917777
