,LR Fold 1,RF Fold 1,GBM Fold 1,LR Fold 2,RF Fold 2,GBM Fold 2,LR Fold 3,RF Fold 3,GBM Fold 3,LR Fold 4,RF Fold 4,GBM Fold 4,LR Fold 5,RF Fold 5,GBM Fold 5
Fragility,,0.04325899750852913,0.01027921653362727,,0.04007243799395782,0.00761751953457245,,0.042114618702402344,0.038091128356502794,,0.04359369994451149,0.052675119789014076,,0.0409617218291148,0.024898444286394122
Durability,,0.06776856393994246,0.05278316236516185,,0.07776738038366621,0.04705139687376852,,0.08072713379736628,0.07775603327269269,,0.07791726091450338,0.07044395260308361,,0.07964803488683798,0.07301660342668202
Democracy,,0.04024570452404196,0.06746964008147718,,0.03552064122070772,0.04871587998853373,,0.029364668637561864,0.042993553003379516,,0.026761732608900912,0.034470561404583606,,0.029693254940642472,0.03739860717777626
FH_pol,,0.026223475865091057,0.0009842527062616552,,0.020649302642349637,0.0036958683986384796,,0.021116657286206965,0.0012089588231601147,,0.020464361827564743,0.003725919082912559,,0.01692060623645331,0.0162189880061692
FH_civ,,0.027285492600836354,0.007104797753346582,,0.026178240758146582,0.014185499455770427,,0.026908694580070436,0.01941379007847931,,0.02467394865033102,0.009744762189071193,,0.026458004316540728,0.0075723738346569576
Inequality,,0.09422784221969807,0.10259854508551874,,0.08853151672419919,0.0945861191275454,,0.08266385386914621,0.052493948621408014,,0.08123587095528244,0.04873308006077751,,0.07829126606214225,0.04924492022682748
Poverty,,0.07573902346612803,0.09057019768367254,,0.07611269774949057,0.050334963762141326,,0.07000704350580808,0.035829753583759234,,0.06532818747279895,0.039459531808758275,,0.06674101075148674,0.04673865301928992
Inflation,,0.07515163323649521,0.0963498278924079,,0.0702326714289089,0.07758455281220332,,0.06696389636973664,0.05137464382478424,,0.0734546183375987,0.050223374008770146,,0.06860158131741946,0.03143914141787902
Intervention,,0.0004988568576962168,0.0002092617133984352,,0.0006829659753316916,0.0,,0.0006722387086990812,0.0,,0.0005347383235370294,0.0,,0.00025516643477137946,0.0
Group Intervention,,0.015378825821390892,0.0,,0.01207739267745474,0.01784795082772241,,0.016925912725374172,0.025593567056759244,,0.013427948663499507,0.016475164949042675,,0.012030812960658145,0.017712870658571564
Religious fragmentation,,0.08494970257161746,0.05367946528148781,,0.08111725794996108,0.07312851650678497,,0.08231184584305745,0.0954133888792106,,0.0899359805349505,0.11561113553845477,,0.09649295106391274,0.1327425223890629
Globalization,,0.060927929946970806,0.044330970362474284,,0.06169289959667413,0.04372613529610691,,0.05567123135047183,0.02309142322702949,,0.05822985545782631,0.013474187696929528,,0.05742059765826563,0.02392248861891353
Education,,0.08031057897347839,0.0981510193033627,,0.07818033724279295,0.07331508460833322,,0.09087848831317114,0.06572879084164156,,0.08273610808272971,0.06509432959388069,,0.08080365440653123,0.0636970130458576
GDP,,0.11941514812536683,0.046503852319153945,,0.1244960647755635,0.07135225116839644,,0.14206775276582945,0.07222266626018477,,0.1417718657373927,0.07261517588463504,,0.13929195170840195,0.038965111684693285
Population,,0.1596196239843378,0.2784300084331386,,0.1824560656644256,0.3479884124921277,,0.1700420708305483,0.3777990460432073,,0.1793358522212675,0.39576235619470274,,0.18784319661236273,0.4291540606627303
elecsys_Mixed,,0.0039027445055760637,0.0006340000320163865,,0.004303985097612772,0.0,,0.0046698569836021745,0.0007264062043425619,,0.004283026755157427,2.3248555826876866e-06,,0.004375388419260969,0.0
elecsys_Other,,0.0017130073665975285,0.008524884476718975,,0.0019398735807542665,0.0,,0.0028080150709840134,0.004601506536996926,,0.001332815351912819,0.0013115005121354622,,0.0006784727850981577,0.0009242586511293453
elecsys_PR,,0.006848465360151301,0.00445004479079872,,0.005706349988123881,2.6362094018409468e-05,,0.005779314284954128,0.00022469198506544117,,0.00808446009575034,0.0,,0.005995945374984547,0.0
elecsys_Plurality/Majority,,0.01653438312605452,0.03694685318597628,,0.012281918549878668,0.02884348705333629,,0.008306706375009474,0.015436703401396124,,0.0068701327715705186,0.010177523827665439,,0.0074390159483516795,0.00635394289336622
elecsys_Plurality/Majority and PR,,0.0,0.0,,0.0,0.0,,0.0,0.0,,2.7535292914137627e-05,0.0,,5.736628676311349e-05,0.0
Year,,,,,,,,,,,,,,,
Accuracy,0.4339622641509434,0.7547169811320755,0.7484276729559748,0.4088397790055249,0.8011049723756906,0.8066298342541437,0.4947916666666667,0.6875,0.6927083333333334,0.48223350253807107,0.7918781725888325,0.8020304568527918,0.6149068322981367,0.782608695652174,0.7329192546583851
Precision,0.4339622641509434,0.6785714285714286,0.6629213483146067,0.4088397790055249,0.7638888888888888,0.7671232876712328,0.4947916666666667,0.7160493827160493,0.7142857142857143,0.48223350253807107,0.77,0.7916666666666666,0.6149068322981367,0.872093023255814,0.8414634146341463
Recall,1.0,0.8260869565217391,0.855072463768116,1.0,0.7432432432432432,0.7567567567567568,1.0,0.6105263157894737,0.631578947368421,1.0,0.8105263157894737,0.8,1.0,0.7575757575757576,0.696969696969697
ROC-AUC,0.8138486312399357,0.8270531400966183,0.8289855072463768,0.8002020712301086,0.8378378378378378,0.8365748926496589,0.7720021703743897,0.7622354856212696,0.7628865979381444,0.7902992776057791,0.8624871001031991,0.8805985552115583,0.7215705441511894,0.8507657217334635,0.8027044639947866
PR-AUC,0.785499493774324,0.8120645755611714,0.8267683018941342,0.7769696220346884,0.8374162775516449,0.8276071849602562,0.7449953598226926,0.772258513286245,0.7831881730086004,0.7593415934391093,0.8694256310666095,0.8873994038720436,0.7837211347017163,0.8995017163419025,0.8659637426457847
