,LR Fold 1,RF Fold 1,GBM Fold 1,LR Fold 2,RF Fold 2,GBM Fold 2,LR Fold 3,RF Fold 3,GBM Fold 3,LR Fold 4,RF Fold 4,GBM Fold 4,LR Fold 5,RF Fold 5,GBM Fold 5
Fragility,,0.0595734656809938,0.04333166601734457,,0.054853831895609974,0.046791328837907695,,0.05227721278128713,0.04822037673123658,,0.0472495888967915,0.029746571121448247,,0.044629383502218775,0.027912242241086353
Durability,,0.05937530238440071,0.07384449968341879,,0.07882248648439207,0.06459256636109297,,0.06850666996124556,0.05842123537074118,,0.06784824267617189,0.03929303034666044,,0.0642899392393545,0.03423006519601541
Democracy,,0.0321938170350907,0.01100488259442633,,0.027622317088749068,0.014428900526096652,,0.027878981612910095,0.009339849855272623,,0.026064253270774503,0.011247222191617504,,0.029939847577821373,0.012062322158222666
FH_pol,,0.03427251452259294,0.01841390777163916,,0.02578913684209586,0.012431156219116996,,0.02491815491601344,0.007041219237922271,,0.024695118459452787,0.008457046847174807,,0.02303659180362801,0.006054328008954235
FH_civ,,0.027404227405489447,0.04060511158148176,,0.023322416294747687,0.016470676620968475,,0.03419254115578539,0.047254225820408224,,0.036539081374551134,0.047829914227505356,,0.03461994450116766,0.042242048244702714
Inequality,,0.07369622298113199,0.08488896282818924,,0.08267551627618346,0.07996301370841422,,0.08110472813086096,0.08446769684941711,,0.07595827831778419,0.08304566210976333,,0.07728985135628459,0.07022809317787647
Poverty,,0.07798293584355874,0.06327093824523813,,0.06335636689734954,0.025115214885801887,,0.06343123524584318,0.016827473498640496,,0.06393754189691081,0.0345039790849079,,0.06160915082409059,0.031977718751535246
Inflation,,0.06851681254429971,0.06962242825797538,,0.07350322043602073,0.07397857591826504,,0.06825335393877027,0.05179831675742148,,0.06237076529686246,0.04046793155621509,,0.061324974720339646,0.03752536615715063
Literacy,,0.0679730310210457,0.06373277128383141,,0.08011119782134161,0.07093248089884417,,0.0804159676961506,0.048357423600542064,,0.0787791601218097,0.06716535209301391,,0.08794054172453196,0.08460457190353891
Intervention,,0.000617931945182296,2.4993317237032657e-17,,0.0003469243624139043,0.0,,0.0004942738572781105,0.0,,0.00017326832269115745,0.0,,0.0001784918407591558,0.0
Group Intervention,,0.0004868897227522855,0.0,,0.0011434972371466318,0.0,,0.001152380987562372,0.0,,0.0006543578036990602,0.0,,0.0033475253298325945,0.00046912200485483364
Religious fragmentation,,0.07893449027076288,0.09731082137373749,,0.08317170243167599,0.08371114643750464,,0.08965926234554294,0.09215625906825596,,0.09151901482101499,0.09478100871717146,,0.09522788111433382,0.09930584076278608
Globalization,,0.05736435906063608,0.02349715186419674,,0.0537048683170639,0.01542930554170845,,0.05107825224617311,0.009225073831078515,,0.05303961082115014,0.012505747353935646,,0.05160468599876498,0.020999889879831514
GDP,,0.148010727089593,0.05244823402574807,,0.1470263846222685,0.060133691454404864,,0.13437024397247108,0.07540651028269862,,0.1391298989131955,0.05829963329858783,,0.13982492241336644,0.06574114753028212
Population,,0.18768663808508831,0.3524674648225346,,0.18503371274293215,0.4308064060233766,,0.20070032817724268,0.43804677037355544,,0.21393510902939125,0.46742181730686266,,0.20700881034579147,0.4597470072803977
elecsys_Mixed,,0.007968411064900574,0.004081922031332445,,0.006643472065931012,0.0015574880803291946,,0.006616435247670335,0.0024038708901012776,,0.005151201452594341,5.241777294613282e-05,,0.0049325657686745275,0.0
elecsys_Other,,0.00048191631301764185,0.0,,0.0005746594126625651,0.0,,0.00039598351646506346,0.0,,0.00045028327482202977,0.0,,0.0004961743905341152,0.0
elecsys_PR,,0.00912715926067899,6.151072011574295e-06,,0.006213724547334359,0.0028081113274168283,,0.008266759840326944,0.010387182069510208,,0.007081049915106925,0.0019348860730500368,,0.0063917409058269915,0.00033992881860375783
elecsys_Plurality/Majority,,0.007474789485772325,0.0,,0.005154073939594642,0.000849937158751261,,0.005713206516286398,1.414760969848964e-05,,0.004894795846855869,0.0032477798991395455,,0.005942394665289259,0.006560307884161424
elecsys_Plurality/Majority and PR,,0.0008583582830119815,0.0014730865468942397,,0.0009304902844864404,0.0,,0.0005740278541143161,0.0006323681534994505,,0.0005293794883697883,0.0,,0.0003645819773897701,0.0
Year,,,,,,,,,,,,,,,
Accuracy,0.476,0.76,0.736,0.4826254826254826,0.7644787644787645,0.749034749034749,0.6016949152542372,0.7457627118644068,0.7372881355932204,0.6880733944954128,0.8348623853211009,0.7706422018348624,0.6830985915492958,0.7676056338028169,0.7535211267605634
Precision,0.476,0.7920792079207921,0.7676767676767676,0.4826254826254826,0.75,0.7631578947368421,0.6016949152542372,0.8360655737704918,0.8333333333333334,0.6880733944954128,0.9384615384615385,0.9032258064516129,0.6830985915492958,0.9444444444444444,0.9078947368421053
Recall,1.0,0.6722689075630253,0.6386554621848739,1.0,0.768,0.696,1.0,0.7183098591549296,0.704225352112676,1.0,0.8133333333333334,0.7466666666666667,1.0,0.7010309278350515,0.711340206185567
ROC-AUC,0.7894669318108923,0.8326383988709989,0.7992173968824171,0.7869253731343284,0.8373134328358209,0.8422089552238805,0.8603536110278693,0.8509514534012586,0.8365298172010789,0.7768627450980391,0.8468627450980393,0.8205882352941176,0.7326460481099657,0.8324169530355098,0.8597938144329896
PR-AUC,0.7821619858337698,0.8412972853227274,0.7803897589211872,0.771178433223034,0.8330935269276326,0.8433889956928571,0.9136846914183124,0.8972226571189601,0.8914771148284881,0.8926949424794784,0.9202731778042054,0.8871076455066568,0.8633629692962095,0.9259049656070876,0.927945326283226
