,LR Fold 1,RF Fold 1,GBM Fold 1,LR Fold 2,RF Fold 2,GBM Fold 2,LR Fold 3,RF Fold 3,GBM Fold 3,LR Fold 4,RF Fold 4,GBM Fold 4,LR Fold 5,RF Fold 5,GBM Fold 5
Terrorist attack,,0.11533599330009991,0.12910773279694285,,0.08828064468313139,0.16867081710584972,,0.11636311134061154,0.33301124492941475,,0.11975974808112404,0.3940027574118668,,0.11694383095271778,0.3994802167000596
Fragility,,0.04280385559698852,0.032731075676907806,,0.04234441667862132,0.03475788767182819,,0.03779542661346015,0.028188384446024315,,0.03286076337799415,0.017110647262592208,,0.033239617305720746,0.019518836277249
Durability,,0.046399573786445984,0.05254546428059722,,0.05272341644586897,0.06047254089613303,,0.04664035908699513,0.032667716700254805,,0.04314489912295119,0.022345901186689235,,0.041865898223424604,0.023943782307405632
Democracy,,0.022787075241170775,0.006788513603726737,,0.02411822539622894,0.011543756410369952,,0.02262499223680875,0.010972210120789281,,0.020061531108505604,0.005095364377408644,,0.020701555742318814,0.0024193042175119275
FH_pol,,0.018942770262573346,0.0203960663335871,,0.017687944242313517,0.011508908646125637,,0.019405308846642405,0.008209393189025227,,0.020219888173436062,0.006907274271705923,,0.016041630178929542,0.005066570717323843
FH_civ,,0.018990029786364493,0.015090101597410897,,0.016661243845835935,0.008720162767180796,,0.018971364807723903,0.01626922212236456,,0.022846484330810955,0.025288643712599625,,0.024623521246166975,0.02280464626052382
Inequality,,0.04943072222428201,0.08065878330309018,,0.06458169076056863,0.06468355888728441,,0.05688957756100266,0.051354949392626234,,0.05401069390766772,0.05153856362431503,,0.05289008780809341,0.05037933772220815
Poverty,,0.04351416837162952,0.0279014284480431,,0.04895149546684879,0.018981743575403765,,0.047242776246555845,0.015278607761495389,,0.044305977983657124,0.023360959981807084,,0.046943534128571655,0.021021556706809313
Inflation,,0.0512305493882957,0.054278727932977396,,0.04920439748424059,0.048196654053910576,,0.03841424759427679,0.0349606992513783,,0.04314837508108509,0.041111077608142414,,0.04635598610182115,0.04445121519543993
Literacy,,0.04657732265930115,0.040871016463310796,,0.05080352818152667,0.028938617776196218,,0.05112294758246496,0.03740043313376625,,0.05168526040291747,0.03887615885066813,,0.05368786670248915,0.03819900744788795
Internet users,,0.04038434879347037,0.03155836694849225,,0.04127800667021441,0.015149219781478394,,0.04236233670766536,0.02094665758133341,,0.04075356893018181,0.014165416908969213,,0.039309896165669204,0.017702032031186917
Intervention,,0.0028413958660555715,1.0170213724105434e-05,,0.0009867013975805657,5.997845098740537e-05,,0.0012529316231175524,0.0,,0.0005432565459024469,0.0008743143497315816,,0.00089810447798213,0.0
Group Intervention,,0.0001026826846406715,0.0,,0.00022743687049838417,0.0,,8.507462248851117e-05,0.0,,0.00023066374665958888,0.0,,0.0021353115211075638,0.0011651449882451807
Religious fragmentation,,0.057792668536281955,0.050701916588626585,,0.050472866486798065,0.0478396547163537,,0.06277585521543437,0.05383900355472394,,0.0622129813445528,0.037753655975498894,,0.060072383159795996,0.0392553260983438
Globalization,,0.03646382297124538,0.009981921150318677,,0.03245623756276251,0.007790812449844707,,0.03456105038021545,0.009949078614617924,,0.03455447267478967,0.0029216917974644267,,0.03773864339578749,0.005367226018997441
GDP,,0.09706892296662537,0.016669264011336952,,0.08905400744141102,0.028512993734725454,,0.09289036602719714,0.036387793649239934,,0.1016949290292958,0.028008660793641657,,0.10496961297833018,0.03541264871858927
Population,,0.13524755219310086,0.26514802612648514,,0.15285222880212807,0.30992853718302754,,0.15383150306587295,0.23443347997417033,,0.15851164435405798,0.21532496994677094,,0.15163417959255288,0.21326804324547766
US Trade,,0.051808805544510596,0.07417477166092994,,0.04671131101447412,0.04949877322761054,,0.04433496280376542,0.019361856501526203,,0.04657632090018889,0.027043686943505015,,0.04870492160176642,0.01983104591089053
Weapon imports,,0.08673517419551356,0.059992175174884796,,0.09547707227806597,0.07377342312957746,,0.0761396223141932,0.04941258545364195,,0.06757800919354666,0.04090697787840077,,0.06619467884381541,0.030490610854340554
Global terrorist attacks,,0.01768497932671239,0.01560347061036702,,0.01747149625867088,0.009588111613951799,,0.01932840184806626,0.004777767633885435,,0.020570154614601183,0.006684723558723263,,0.020021578235752714,0.008113689835229379
elecsys_Mixed,,0.0058565962180502276,0.001641237895877958,,0.006248745919244305,0.000985760920535965,,0.005539677267421615,0.0020319507028194335,,0.004558741609982659,0.0,,0.0047091610973711414,0.0
elecsys_Other,,0.0009171544561074052,0.0,,0.000593964718278694,0.0,,0.0005858158456925585,0.0,,0.0005474279469134542,0.0,,0.0008187804516248803,0.0
elecsys_PR,,0.006768784680836455,0.013509383371709585,,0.00503454324528811,0.0002685045033367695,,0.005930381263684282,1.0543138408287668e-05,,0.004859415158728658,7.867054506409342e-05,,0.005252804103171695,0.0003300107358292844
elecsys_Plurality/Majority,,0.0036676457491526104,4.183952739666963e-05,,0.00458766967681797,0.00012958249828804938,,0.003814634559288738,0.0,,0.0038900549424560364,0.0005998830144352112,,0.0034893508092754977,0.001217968701237248
elecsys_Plurality/Majority and PR,,0.0006474052005452841,0.0005985462832562129,,0.0011907084725821851,0.0,,0.0010972745393545845,0.0005364221484941414,,0.0008747374379929764,0.0,,0.0007570651757429959,0.0005617793092134667
Year,,,,,,,,,,,,,,,
Accuracy,0.476,0.76,0.736,0.5598455598455598,0.7837837837837838,0.7953667953667953,0.6016949152542372,0.7796610169491526,0.7669491525423728,0.6330275229357798,0.8165137614678899,0.7981651376146789,0.704225352112676,0.7605633802816901,0.7676056338028169
Precision,0.476,0.8470588235294118,0.7572815533980582,0.5533980582524272,0.8108108108108109,0.8103448275862069,0.6016949152542372,0.8947368421052632,0.8990825688073395,0.8888888888888888,0.9230769230769231,0.8732394366197183,0.7350427350427351,0.9315068493150684,0.9102564102564102
Recall,1.0,0.6050420168067226,0.6554621848739496,0.456,0.72,0.752,1.0,0.7183098591549296,0.6901408450704225,0.5333333333333333,0.8,0.8266666666666667,0.8865979381443299,0.7010309278350515,0.7319587628865979
ROC-AUC,0.7894669318108923,0.8358457886971582,0.8092886009365577,0.6649552238805971,0.8508358208955223,0.8522985074626866,0.8603536110278693,0.8742133652981721,0.847879832184597,0.783921568627451,0.8694117647058824,0.8301960784313726,0.7466208476517755,0.8279495990836198,0.8657502863688431
PR-AUC,0.7821619858337698,0.8508095583475112,0.7860337761958496,0.6718764815738796,0.8581599464741643,0.8583876652344565,0.9136846914183124,0.9181153870724209,0.8985714215399083,0.895079055840602,0.928027542421869,0.8972532636996793,0.8698736760115668,0.9255854942634335,0.925439268096147
