,LR Fold 1,RF Fold 1,GBM Fold 1,LR Fold 2,RF Fold 2,GBM Fold 2,LR Fold 3,RF Fold 3,GBM Fold 3,LR Fold 4,RF Fold 4,GBM Fold 4,LR Fold 5,RF Fold 5,GBM Fold 5
Terrorist attack,,0.09522541957215541,0.2533625928823216,,0.11518228456619728,0.2834972516765079,,0.13722932809935226,0.3665162677676193,,0.11764467765092687,0.3338108359155503,,0.12886879692609637,0.3734880024643688
Fragility,,0.02513009539351116,0.007612600459716816,,0.02842972471918473,0.008186660130688365,,0.030083524559809484,0.008728199343515652,,0.031033814394613026,0.005625583624396301,,0.03002722141532035,0.011392935682311683
Durability,,0.04693690405705217,0.030456873433662993,,0.043663476595284585,0.04092819095551863,,0.04842384079082693,0.04593402711780082,,0.05334710916276206,0.05705380419436971,,0.05007684090595325,0.05518935471122956
Democracy,,0.027046413093044664,0.02696863053125058,,0.02523540993767106,0.01911969710785073,,0.021049709026624272,0.010183729428755657,,0.02156572928587838,0.009431155732472917,,0.018530177357347983,0.007910639251252289
FH_pol,,0.016080042531609464,0.0003304403816484825,,0.01724710140807002,0.004331902314474414,,0.014362010536257243,0.004238075768575907,,0.015522342619108809,0.0,,0.01455725612578026,0.0023039854048710574
FH_civ,,0.017707857217993363,0.007532526598390755,,0.017047605329904097,0.002574390585402795,,0.015386427397011054,0.00513401723420679,,0.016876158418180718,0.006674627571387298,,0.017062897737818373,0.001997176418539465
Inequality,,0.06232220459094833,0.0342136786789174,,0.060862840296978554,0.048107668027694554,,0.05441910449076397,0.03821856142759784,,0.056375731863789004,0.03815108784169323,,0.05687960914923177,0.04020468184216153
Poverty,,0.04719161054174286,0.02862641419383509,,0.04398335970610689,0.026138412097438838,,0.04540813073002893,0.020973616367501998,,0.04507592177902841,0.021773596655933092,,0.04345236068759499,0.020813520888794654
Inflation,,0.05277795076081745,0.05977213979391329,,0.04802142259130618,0.04415498718221183,,0.049133390658535274,0.02419891831675462,,0.04924899552864906,0.02469144437956893,,0.046788813039643,0.021940715814049664
Internet users,,0.05985602713658425,0.06754534270119956,,0.058010030352546316,0.05872208592614797,,0.05610351135936435,0.05398363580816215,,0.05520709941577711,0.061044975314372606,,0.05462707895950372,0.047921227547054294
Intervention,,0.0007519119718441184,0.0,,0.0008443885367767868,0.00026305806228071345,,0.0015244859275170396,0.0,,0.001113476944230571,0.0,,0.0009123968219736192,0.0
Group Intervention,,0.006708343897176318,0.0032160272813883074,,0.008259362371245731,0.004387770342461602,,0.007511488346236194,0.004619259208548069,,0.005516264794874596,0.003351709476652108,,0.006287240081620083,0.002600389125460693
Religious fragmentation,,0.05626430918789103,0.04031370919951959,,0.05816027025542796,0.04919518093820218,,0.05266913127591668,0.030705331821738662,,0.06160954915229418,0.0388555673028511,,0.05903365252747261,0.048809400825596275
Globalization,,0.03847731543779501,0.008917562978953637,,0.03914686690819008,0.005663824752942999,,0.03306108149930084,0.008476542710411273,,0.03645409946786325,0.013711622271729484,,0.038036311759034665,0.010815300784372902
Education,,0.05745220998509799,0.04741349424741443,,0.05959312611710452,0.05008707898155971,,0.05854678137315948,0.04882038304371163,,0.05786851797126461,0.057344570343101954,,0.057367943503571266,0.03926813533242115
GDP,,0.08922881817613743,0.05491896451179086,,0.09922805480463437,0.06214152073645015,,0.08526532796854679,0.03673070486456561,,0.08246230589105999,0.045881210348716533,,0.08153780361714627,0.028484522021939927
Population,,0.1147368281817493,0.12876888372968054,,0.11700809973263643,0.15029677701794292,,0.12675339216409012,0.1415022094311737,,0.12735048544989852,0.15042371198270285,,0.1327623370522951,0.17765831423567513
