,LR Fold 1,RF Fold 1,GBM Fold 1,LR Fold 2,RF Fold 2,GBM Fold 2,LR Fold 3,RF Fold 3,GBM Fold 3,LR Fold 4,RF Fold 4,GBM Fold 4,LR Fold 5,RF Fold 5,GBM Fold 5
Terrorist attack,,0.09282211258562417,0.25214361994332946,,0.10749118412664861,0.2835970377081572,,0.1301392104501974,0.3591889698017671,,0.10047299404671413,0.3334991689114627,,0.13837320236568082,0.3725287198460716
Fragility,,0.025110149400886045,0.00896864439011663,,0.0281330629402433,0.009983674509218088,,0.028408604401578483,0.011271817710693478,,0.03329174080127635,0.005333006735292289,,0.030554226689611528,0.011005273456966823
Durability,,0.043408038460458674,0.02840544035788749,,0.05030221048189712,0.03909413692910127,,0.050764530088384704,0.041202301134729544,,0.05127026742552049,0.060046847667620556,,0.04832881055269829,0.05574212359370941
Democracy,,0.03245990575277006,0.02653763149229638,,0.02356137915635726,0.014176460041412011,,0.023347181386846265,0.009059787337662495,,0.020928273886417062,0.006234792582884098,,0.02062537009848068,0.010796578881041765
FH_pol,,0.0145311507561402,0.00032881114632283924,,0.014936053402247797,0.0021176608941093147,,0.012734330060826105,0.008756778385960876,,0.013913524426112881,0.0009517239074441257,,0.01447572579931392,0.003850879002497103
FH_civ,,0.020069410419460743,0.004860040592723689,,0.017314604203660593,0.0021247760700416987,,0.017728969716756554,0.005817036916506454,,0.0190830743230001,0.004618635217141472,,0.013495249587377214,0.00425358062780017
Inequality,,0.06569917425241897,0.03460719016955028,,0.05884176641096455,0.049710038386507,,0.05573941973980865,0.03129383159219952,,0.05535007459100132,0.04534961019596957,,0.0571485384262333,0.03474388421480273
Poverty,,0.05034248449761207,0.029598067264498835,,0.04594558653143245,0.02395430764905374,,0.043408095153503086,0.01783421244983168,,0.04669710632726309,0.017521663026625552,,0.043767720936005436,0.01901465331183471
Inflation,,0.05506644122130946,0.06090910304478815,,0.04718418935804268,0.044990131853896775,,0.049894253072607156,0.028734612908153538,,0.050248953346863794,0.02921079665324016,,0.046209998757974095,0.035015045202995046
Internet users,,0.05447318667447515,0.0682563227705618,,0.05422386397326251,0.05528723525935863,,0.0508479294850802,0.03853025586555143,,0.052909796934337915,0.06335996442543254,,0.05067956781605226,0.04222472245771802
Intervention,,0.0007051610994125489,0.0,,0.0015172413853566365,0.0,,0.0014527432743676883,0.0002164681982847821,,0.0010433048353255669,0.0,,0.0004995015238397733,0.0
Group Intervention,,0.0056929733085742795,0.0026010465688607325,,0.00808768729519782,0.0,,0.008315575006576304,0.0023200794569397205,,0.006740716121007428,0.0034382625393324906,,0.0059258671261129105,0.0027120207557242777
Religious fragmentation,,0.055407823408902546,0.041141546922993114,,0.052108604517380204,0.04431436125010743,,0.04878745881784388,0.03287296438173965,,0.061980968724439076,0.03868582041934637,,0.059214657312851075,0.047921634500624755
Globalization,,0.039273316976167615,0.014791156752929675,,0.04109256870200921,0.011302319137998689,,0.03515710510647127,0.011839260255628618,,0.03853731477518071,0.016617289329195355,,0.036384601135291204,0.014813264148242335
Education,,0.058979577561868425,0.04856793377360513,,0.05564507469993796,0.04807716587735857,,0.05858934619369822,0.04497960321566103,,0.059738963201449766,0.05006087608062701,,0.056710541701712684,0.036665800628587195
GDP,,0.09053060208806106,0.06107660561490608,,0.08705416097362792,0.05012899979985394,,0.07859935657240119,0.035627015609083226,,0.08599016208656676,0.04398392214922692,,0.08339896270707459,0.026385189558518474
Population,,0.1156143642773647,0.12557342172373967,,0.12208558736200517,0.1497022597174005,,0.13042788675035694,0.14262588991222838,,0.1311579286137333,0.14973774257225864,,0.12455821702301245,0.1736464885922714
US Trade,,0.05363618028939623,0.05470983964988679,,0.05400562469985137,0.043852574654107114,,0.05689637865103131,0.06221991597634604,,0.04774569113651335,0.03921977352151669,,0.048878412519950856,0.026633521742398063
Weapon imports,,0.0770838179797668,0.07193446955593487,,0.07825354917475652,0.05208846885434894,,0.06725663405515914,0.06625454061510005,,0.07337612713216848,0.05693614162767037,,0.07088204506085032,0.04325376765174621
Global terrorist attacks,,0.02884886371127507,0.03839590126582544,,0.03450681178209214,0.060867328420418663,,0.03535273578151924,0.0383388709275407,,0.03627377709133579,0.027679986732165422,,0.03564399023509679,0.029895698402986913
elecsys_Mixed,,0.004624567922643716,0.0,,0.004114375912788436,0.0,,0.00443781822475219,0.000607865030905608,,0.0034828188956675427,4.740217209912717e-05,,0.004787705087942078,0.0022118590049425234
