,LR Fold 1,RF Fold 1,GBM Fold 1,LR Fold 2,RF Fold 2,GBM Fold 2,LR Fold 3,RF Fold 3,GBM Fold 3,LR Fold 4,RF Fold 4,GBM Fold 4,LR Fold 5,RF Fold 5,GBM Fold 5
Terrorist attack,,0.08087843141212087,0.12974488040738955,,0.07281758357843907,0.17072168724898118,,0.1343974075086833,0.331358467540306,,0.14063576964405397,0.39995166988820247,,0.11662265020578161,0.4033615025685066
Fragility,,0.04806590835967851,0.030959223926736456,,0.03919789005655606,0.033693967352461454,,0.04014232877164862,0.03061949278599865,,0.035414706941992204,0.019562171590374797,,0.03771535904724938,0.014320081695435546
Durability,,0.040318140811566365,0.05593951208213779,,0.052324180311599786,0.05916098775802683,,0.04526269217765876,0.03257859748979542,,0.04170104065115352,0.020101477536997647,,0.04106740446956581,0.02268871077350289
Democracy,,0.028204228760884936,0.006004035060636024,,0.02281540983050977,0.009620429397585768,,0.02439287033715992,0.009200777812456254,,0.019872397849271136,0.0029549590828480627,,0.019332528159703807,0.0016478623412822988
FH_pol,,0.018623061996188392,0.02110607306921081,,0.01908151146191722,0.011785214278117863,,0.017805080852630002,0.007736145700784261,,0.017224342824094692,0.004808168564334222,,0.01658843130466322,0.004669377833160597
FH_civ,,0.01846023899433263,0.013145034230227903,,0.015733548148328936,0.006356784254827798,,0.020079230550341467,0.02047150465225295,,0.02141895756882187,0.02586887814377756,,0.0222858622284311,0.021907454704836342
Inequality,,0.05040341488947536,0.08197520130755413,,0.05661076125414579,0.06602713822907809,,0.05669365845307919,0.04901758914958408,,0.054254804288069086,0.05182510704487791,,0.04943055387874211,0.04561008581810135
Poverty,,0.05377240293393932,0.029319445169570562,,0.045750757206893464,0.020017661468129534,,0.04248287851101001,0.015050940292748482,,0.04449643266902543,0.01906464779015039,,0.04342669776122172,0.01654337141522333
Inflation,,0.05000818886804995,0.057545679086412053,,0.04784943785477881,0.04491550202977883,,0.043590094103007924,0.03724370314960102,,0.0436515660626794,0.042108666408507335,,0.045806078478859105,0.042929939674381835
Literacy,,0.0532824489287602,0.04201911814069696,,0.054811265644488696,0.03617420045938376,,0.04823987070695953,0.03655562285295675,,0.05032521714954832,0.034431427332386674,,0.05410297871173157,0.03434392177447545
Internet users,,0.03963368538370463,0.028767357357505356,,0.04458554726789207,0.017794198722122855,,0.04138536525850741,0.015156640544537126,,0.040274071072193385,0.009764811993182673,,0.041464311365287825,0.01199126477202967
Intervention,,0.0020974296459516425,7.376159707192745e-05,,0.0015972898048576445,0.0,,0.0012431420610753956,0.0,,0.00069264011623596,0.0008801186982721811,,0.000702436954592702,0.0
Group Intervention,,0.00035361658786983,0.0,,0.00029947902313725536,0.0,,0.00021878047350741502,0.0,,0.00017861666191657397,0.0,,0.0016971082789080528,0.0008552659151934539
Religious fragmentation,,0.05763245987737221,0.054725260217493014,,0.05325151735348296,0.04141341486219439,,0.06340335448235612,0.057388498201242935,,0.05858386158581892,0.04186579288802511,,0.06142602312331766,0.048159058299093845
