,LR Fold 1,RF Fold 1,GBM Fold 1,LR Fold 2,RF Fold 2,GBM Fold 2,LR Fold 3,RF Fold 3,GBM Fold 3,LR Fold 4,RF Fold 4,GBM Fold 4,LR Fold 5,RF Fold 5,GBM Fold 5
Fragility,,0.039259042604062766,0.001392317690868516,,0.03159596132779909,0.0058967518844257215,,0.03647719847634937,0.03204269002546212,,0.03534740517437258,0.03227638407405186,,0.03949094314022307,0.02300544721129419
Durability,,0.05835254863326869,0.03131321391041772,,0.05956612479609984,0.04805397000267525,,0.06695945407301161,0.07231303981076262,,0.06168435631016647,0.06232339843119496,,0.059272603505270326,0.06001560724361882
Democracy,,0.03272742793792825,0.06292438543416609,,0.029629099131598342,0.04432534713113928,,0.027615648620330013,0.024941061314241477,,0.02407219042750349,0.021763736197747397,,0.025376533840542344,0.023469513442731203
FH_pol,,0.020849150667364584,0.002114324535154977,,0.020584025671169095,0.0004955417694553601,,0.015848250146957107,6.480951853339955e-05,,0.015186099917601158,0.0022398017865903927,,0.01645623958966235,0.007078983172256212
FH_civ,,0.020945245016960184,0.0016710565044011799,,0.021305193244733303,0.005051911749020251,,0.020099197089388895,0.00890587442095094,,0.022599848099509785,0.0068637408932161826,,0.019877221341283734,0.0059204937954307766
Inequality,,0.07458983209987867,0.08258826775262518,,0.07656652801256097,0.07119481699902783,,0.060136448022322354,0.047567759754919635,,0.061171168145271036,0.05542914551718097,,0.059945941463810014,0.04912454072683753
Poverty,,0.06303697232854599,0.06477954068612096,,0.05304881898088096,0.05405723564568625,,0.054394315695744225,0.031994265337948205,,0.05177184052096764,0.029961435917890557,,0.05196504598195857,0.03899918868412676
Inflation,,0.05735382642385402,0.0925509768385011,,0.05311720356277636,0.06516696671792319,,0.05461641705810813,0.0403810823421497,,0.052778071565341776,0.03193855187330754,,0.05365190698797506,0.023522419507535013
Internet users,,0.059831427428627716,0.07636229108099397,,0.060501855093527984,0.0693540244112558,,0.06913301610101337,0.08903414749424654,,0.06371881604490355,0.07706837458666728,,0.06241084887589267,0.07097949627299655
Intervention,,0.0,0.0,,0.0006515620601496558,0.0004533999373172581,,0.0006107529261492584,0.000359458093863954,,0.0005942589866023741,4.1381218133739305e-05,,0.000313937213830931,0.0
Group Intervention,,0.011375545678409125,0.0028274770208610114,,0.01199410670022409,0.002133531567237896,,0.010995377364728338,0.003673734307665928,,0.008431139491316363,0.005720636368224689,,0.009223451265482433,0.004025378277185291
Religious fragmentation,,0.05901213315527686,0.037971068263117774,,0.06047680256351507,0.05215762253854131,,0.060323078334971435,0.045621081005690615,,0.07022986107414976,0.08477358761751594,,0.07691899118684374,0.11736082583482754
Globalization,,0.05018175863797912,0.02374051033661619,,0.049718436612875526,0.016610125355999348,,0.04281950768069635,0.00946173575613389,,0.04151849870944798,0.010119675846053501,,0.04484117534565397,0.011587815427738554
Education,,0.06355299073081887,0.052749375058845686,,0.06806301794635851,0.05418602405038728,,0.0678059568542436,0.04547575149261502,,0.06669292260396703,0.04527909739590501,,0.0606885585969058,0.04326428769274357
GDP,,0.08134275393477305,0.020285179882656188,,0.10036342450348372,0.037953727930313076,,0.11263077425561034,0.05108276714961649,,0.10675333874009259,0.05406732228911053,,0.10601161577555743,0.030301467615671485
Population,,0.14307324524434856,0.2514683840064018,,0.145041665045577,0.3179152279746434,,0.13131862723825447,0.34116369187788553,,0.1579691316887265,0.3665655356875912,,0.166195269267393,0.3858785406305988
