,LR Fold 1,RF Fold 1,GBM Fold 1,LR Fold 2,RF Fold 2,GBM Fold 2,LR Fold 3,RF Fold 3,GBM Fold 3,LR Fold 4,RF Fold 4,GBM Fold 4,LR Fold 5,RF Fold 5,GBM Fold 5
Fragility,,0.034665133199955324,0.003470655332600712,,0.03419555391414143,0.0048607747239169646,,0.03775283087092069,0.03204582755511035,,0.0355516279586998,0.032307692385859225,,0.03752640710112323,0.024652586960045148
Durability,,0.05841015912064038,0.03331061690042431,,0.05335056717733629,0.04843119572403189,,0.06710131336536501,0.07159071931840888,,0.059924481563724284,0.06288647182805406,,0.06246769572637006,0.059129149777456515
Democracy,,0.03575068521106978,0.062300477877917586,,0.0285915947844291,0.0444465220626109,,0.02307935751514086,0.024902748297230395,,0.024115125876920253,0.02180645611289563,,0.024731275900935032,0.024234421281572723
FH_pol,,0.01870479588540118,0.002343692321166448,,0.019298571458419837,0.00048485694601107854,,0.01588396231094789,6.433244861293485e-05,,0.01667338353017564,0.0012826624359372164,,0.01528805992328383,0.008808575070372311
FH_civ,,0.02449348243380901,0.00046818361575951206,,0.022577103160645384,0.00498642692472686,,0.01986438072562061,0.008845572266864655,,0.018705212438146577,0.006284256111448096,,0.020494664342525983,0.008854491234795779
Inequality,,0.07959142434474525,0.08220294457289083,,0.07062797324150247,0.06975992317472454,,0.06542029355606492,0.04715612688519735,,0.06411434774551261,0.05489407408123239,,0.062175526759390774,0.052573938467960254
Poverty,,0.06402558016011502,0.06203822126566683,,0.05857163964912301,0.05409249645475229,,0.05572263308720222,0.03243080701487358,,0.05255454773042293,0.030030688130054876,,0.05331795439009071,0.0343366819484164
Inflation,,0.05951685486236052,0.09351455823952443,,0.0568482987939246,0.06608807440139006,,0.050227602995588864,0.03972281762718609,,0.058177124541834366,0.03231213666227658,,0.05428724206316662,0.018134403051721735
Internet users,,0.06008579600662525,0.07775943055632402,,0.06411453522160265,0.07158925255951193,,0.06809415009747304,0.08862378837523308,,0.06919928527401187,0.07662043142279562,,0.05949854358606549,0.07159674363127891
Intervention,,0.00021639577856744598,0.0,,0.0005968892434689621,2.256126335217352e-05,,0.0006989043323353582,0.0006453034461530474,,0.0003747823144386992,0.0,,0.0004241027349975728,0.0
Group Intervention,,0.009767160147654852,0.0014242117832350175,,0.007415494842867062,0.0021335315672379104,,0.0098228399123772,0.0036625901473163083,,0.00836879702165136,0.005720636368224447,,0.008315393356910925,0.003027081541243921
Religious fragmentation,,0.06485263850911022,0.043608737091034126,,0.06471138029854424,0.05169741902210368,,0.056467965782734074,0.045820747707206774,,0.07213672328302542,0.0849090957941995,,0.07601352380075813,0.11620874247495128
Globalization,,0.04266512885727312,0.02752304447702159,,0.0502170145094494,0.014852031218058389,,0.044083078709982425,0.009614340596294789,,0.04334008095668397,0.010266748251210104,,0.044017697879396106,0.014867331531914007
Education,,0.059334621162022254,0.052927684472250026,,0.06155179679518001,0.05430205428233239,,0.06274105905689402,0.04513536083870459,,0.0640723456277317,0.04557480371366916,,0.06082492233165095,0.03975858404030637
GDP,,0.09833010270573544,0.022778740343295915,,0.09299143559048095,0.038956898340963636,,0.10776546680661264,0.05083396334219491,,0.10807026567682256,0.05540740339243411,,0.1047819200005991,0.0331066717798033
Population,,0.12310957858938344,0.24740538373143395,,0.1498461040179392,0.3170372314217088,,0.15628979418497901,0.34114273270119577,,0.14325345453093455,0.365801896949096,,0.16577544573205988,0.38618028893978673
US Trade,,0.06105321916589019,0.05822979367004295,,0.06820102700880597,0.062233400451977006,,0.05571544413102166,0.06851313630886108,,0.058982199919768594,0.055130313448882855,,0.054546581179912824,0.04257529040590666
Weapon imports,,0.0809932451458624,0.0803133745947861,,0.07749648338703159,0.06226058651863896,,0.0856577622880917,0.07351075296883261,,0.08647666466509477,0.04525454553046874,,0.0754500612085579,0.053839208270804725
elecsys_Mixed,,0.004942057427037929,0.0009007911199039511,,0.003766356397239636,7.289297634833204e-06,,0.004134629795454535,0.001548282319441243,,0.003765658251087279,0.0,,0.005421391853022134,1.4131983228209417e-05
