,LR Fold 1,RF Fold 1,GBM Fold 1,LR Fold 2,RF Fold 2,GBM Fold 2,LR Fold 3,RF Fold 3,GBM Fold 3,LR Fold 4,RF Fold 4,GBM Fold 4,LR Fold 5,RF Fold 5,GBM Fold 5
Terrorist attack,,0.07316809418732984,0.13187626594953622,,0.07481505892374257,0.1719226880599923,,0.1170273042974238,0.32846248702460723,,0.11312971624167917,0.39632079023576666,,0.12017732026093697,0.39526199916563703
Fragility,,0.04742501022917582,0.03652032653707087,,0.04380910783137514,0.031480864291948685,,0.04306412620169885,0.02818442108421821,,0.04137863055266668,0.011654777123437569,,0.03960423526814206,0.018402146570748085
Durability,,0.05232008258609963,0.058599320736534746,,0.05724914898648199,0.059063411207981226,,0.053015698848161506,0.03030778815292419,,0.045395469538822036,0.023311110207213992,,0.045128659030653724,0.023682876354058927
Democracy,,0.035461722970307155,0.0003581887917748298,,0.03050231256764208,0.005424792467647511,,0.023441476442959398,0.008161079035231661,,0.025881353497840657,0.0026989863658620768,,0.025414017208520795,0.00274359965428799
FH_pol,,0.021554562736082833,0.02501250781660201,,0.018535445130883423,0.008434206667327221,,0.021424787200494858,0.006942678435102399,,0.021678689789148917,0.005378220178242467,,0.02161822094016652,0.0033383040886981966
FH_civ,,0.025687891984461086,0.022732356760689378,,0.020207741043081352,0.007630128657618995,,0.02269849411590549,0.016416611494753094,,0.0268423176474211,0.025390718114618294,,0.022494121190409208,0.02318544891714767
Inequality,,0.05250468984536519,0.07824558787823045,,0.05926745790032684,0.0669816686802254,,0.058440841483803296,0.04733483634277449,,0.05533805963240058,0.05264330718584786,,0.05836963847447562,0.04371084919261809
Poverty,,0.06083818680371597,0.025751722962427163,,0.04782482496950168,0.022228372300181796,,0.04399571484273634,0.020337421829780343,,0.046325672131197856,0.024925954694451306,,0.04797274786489892,0.018530727621675593
Inflation,,0.05170705656322437,0.06953229229017609,,0.05217066001006658,0.052053540570333345,,0.04574969443893166,0.043318038313423346,,0.0446683282761781,0.05031366067921171,,0.04669240533293894,0.039373605194489396
Literacy,,0.051740388667819506,0.048452759141787184,,0.049593004183293925,0.05414963193474932,,0.05251196813540148,0.038402263365743414,,0.05328588961081211,0.0403140852666221,,0.052638556941451385,0.040881760580383564
Internet users,,0.04821105183212183,0.03315965587075382,,0.04492766003812026,0.01767133441488809,,0.0469864589082614,0.016728133836698085,,0.04114407516681623,0.00813293181208652,,0.04186545831217911,0.015357781753777494
Intervention,,0.0023259346406561882,0.0,,0.0015243528279483209,0.0,,0.0009400676425599346,0.0,,0.001084079466502423,0.0008774921257091033,,0.0010482194495313065,0.0
Group Intervention,,0.0,0.0,,0.0002699973730816247,0.0,,0.00041746019933672224,0.0,,6.875971413451018e-06,0.0,,0.0017683270968314587,0.0015413493494714563
Religious fragmentation,,0.06558925329120747,0.0686283330907157,,0.0606513331519211,0.047133447728406656,,0.06406847949002596,0.055611907795031106,,0.06495979559439224,0.044498026001433634,,0.0661111221054089,0.051325878430757324
Globalization,,0.044999618220934054,0.020579193274880347,,0.04539462041923351,0.007629353548007823,,0.03754447981975123,0.008843228359721046,,0.037572911732713786,0.0034165962345267392,,0.03965953831257376,0.007435298132881416
GDP,,0.09281695927838904,0.014195086992750789,,0.11215903362769102,0.04233026942569537,,0.10049137959085166,0.04534294799540718,,0.11276056742345085,0.025315332581078463,,0.09790516099509089,0.039198854095411594
Population,,0.1421692409248771,0.27633154996124676,,0.1352173119906351,0.3160511198250143,,0.14502207238988865,0.24775559890875237,,0.15323078732985032,0.22374121917688863,,0.1455937702801527,0.21696795363982044
Weapon imports,,0.09441178842839243,0.06904667698856926,,0.09861435306923036,0.08104734128180022,,0.07635525958902743,0.04412590764750964,,0.06762244328883299,0.04204746184570424,,0.07140758527182874,0.036290983779704016
Global terrorist attacks,,0.017948412955237594,0.003419815621852406,,0.026572311017165128,0.00863379232255294,,0.02704973992524741,0.010529455756961036,,0.031235395370965154,0.016647824312522354,,0.03567389741483229,0.019210963296477954
elecsys_Mixed,,0.008255746193113315,0.0,,0.006815528234458432,0.0,,0.006850810666294791,0.0010011676885886703,,0.00401070403819444,0.0,,0.0052503498126767875,0.0
elecsys_Other,,0.00047625402919605373,0.0,,0.0005243522998952157,0.0,,0.0010360400464944357,0.0,,0.0006050422621576652,0.0,,0.0003448841358755803,0.0
