,LR Fold 1,RF Fold 1,GBM Fold 1,LR Fold 2,RF Fold 2,GBM Fold 2,LR Fold 3,RF Fold 3,GBM Fold 3,LR Fold 4,RF Fold 4,GBM Fold 4,LR Fold 5,RF Fold 5,GBM Fold 5
Internet users,,0.13091125991039135,0.11511232997798267,,0.12816797421227016,0.13128825911577374,,0.13979042084666032,0.13311453892204209,,0.13346107523190426,0.11771959903836259,,0.13523797058700737,0.09886962754122462
Intervention,,0.0011266931127928489,0.0,,0.00193565312839539,0.0007517436306937751,,0.002138853535578275,0.00020989623328826972,,0.0012202602098295334,0.0,,0.0008769311031110831,0.0
Group Intervention,,0.01760099334757052,0.006346708906965749,,0.01854552735178218,0.009956250771438966,,0.01795981570347817,0.009703195386735225,,0.017577243479702097,0.011057527257805065,,0.014897936453171284,0.005235911074290535
Religious fragmentation,,0.1522036727035544,0.1947100561683243,,0.1468252838606474,0.14508133998596887,,0.14686092498746467,0.12814517989861351,,0.16261595386631558,0.14541214031199465,,0.1569882465459801,0.18708484266670633
Globalization,,0.1178870859082431,0.07214652035674926,,0.11948341276540414,0.07094549804212395,,0.11201553624353135,0.0796222292669165,,0.11051202696496691,0.07584934035013309,,0.11399185670095076,0.08372366919692219
Population,,0.25769259800454236,0.3536595642245898,,0.2706471782176245,0.394959206166914,,0.28031721531181586,0.40580509657936586,,0.2775399455692635,0.4497889220434149,,0.28325158034104075,0.4683327242289402
US Trade,,0.14517230531065844,0.12789189483957783,,0.15516993022534364,0.14934406641859838,,0.1426923904423048,0.13458466044661982,,0.13769996097144255,0.10278596205631563,,0.13438223220938927,0.07350384212904602
Weapon imports,,0.17740539170224698,0.1301329255258105,,0.15922504023853257,0.09767363586848848,,0.15822484292916666,0.10881520326641875,,0.1593735337065757,0.0973865089419741,,0.16037324605934938,0.08324938316287017
Year,,,,,,,,,,,,,,,
Accuracy,0.4339622641509434,0.7484276729559748,0.7358490566037735,0.4088397790055249,0.7845303867403315,0.7900552486187845,0.4947916666666667,0.6510416666666666,0.6666666666666666,0.48223350253807107,0.766497461928934,0.7817258883248731,0.6149068322981367,0.8012422360248447,0.7453416149068323
Precision,0.4339622641509434,0.6883116883116883,0.6626506024096386,0.4088397790055249,0.7333333333333333,0.7368421052631579,0.4947916666666667,0.7058823529411765,0.7246376811594203,0.48223350253807107,0.788235294117647,0.8333333333333334,0.6149068322981367,0.8681318681318682,0.8372093023255814
Recall,1.0,0.7681159420289855,0.7971014492753623,1.0,0.7432432432432432,0.7567567567567568,1.0,0.5052631578947369,0.5263157894736842,1.0,0.7052631578947368,0.6842105263157895,1.0,0.797979797979798,0.7272727272727273
ROC-AUC,0.8075684380032208,0.8274557165861514,0.7925925925925925,0.8055064410204597,0.8449734781510484,0.856087395807022,0.7727618014107435,0.7659251220835595,0.7438958220293,0.791124871001032,0.8631578947368421,0.8543343653250773,0.7246660149885956,0.8607038123167157,0.8375692407950474
PR-AUC,0.7768217896938285,0.8138559395450489,0.7757913885705775,0.7860283473584401,0.8434698439840611,0.838789863273021,0.7537194631358939,0.7877088385692235,0.7581243642372426,0.7630256296091924,0.8813903815881388,0.8488529764639038,0.7953643465722222,0.8945878807532761,0.8950364852308551
