,LR Fold 1,RF Fold 1,GBM Fold 1,LR Fold 2,RF Fold 2,GBM Fold 2,LR Fold 3,RF Fold 3,GBM Fold 3,LR Fold 4,RF Fold 4,GBM Fold 4,LR Fold 5,RF Fold 5,GBM Fold 5
Internet users,,0.1294165384585489,0.13193604635949965,,0.12098498161460079,0.0777034933483282,,0.11966496446833103,0.05528442961891882,,0.11596416912047144,0.04143441722916894,,0.11699371537673864,0.045957372626613986
Intervention,,0.0023628521535438776,0.0,,0.0013725202021524809,0.0,,0.001074547886615244,0.0,,0.001057247309984086,0.0,,0.0007373306703930878,0.0
Group Intervention,,0.0007657207669746772,0.0,,0.0015211703753832341,0.0,,0.0015731597059727989,0.0,,0.0014646797920063667,0.0,,0.005479831156566956,0.002565715419430913
Religious fragmentation,,0.14565711269416967,0.15225192059302134,,0.15607456429440753,0.13360860252158324,,0.16747436862036866,0.15839604928357182,,0.16527597713897887,0.1728210448904468,,0.173008491186195,0.1734563645407117
Globalization,,0.11842862309815667,0.08385562593338593,,0.10768580980843276,0.07608147415750449,,0.10473355941355744,0.08387042475729853,,0.10191729506484679,0.05074335463046923,,0.1015713460466365,0.05641209224052071
Population,,0.29364011951475916,0.41267740478103887,,0.30731827142697815,0.4802685546273056,,0.3105372665300111,0.5021532541397887,,0.3175372318893522,0.5718070042620317,,0.30706645963027435,0.5554759862588838
US Trade,,0.1315292110479883,0.09572527261829883,,0.12824562349921473,0.09244331421182574,,0.12779086979927357,0.07918795101541615,,0.1311114507112109,0.08118647863107552,,0.12842595532017706,0.07203328609071284
Weapon imports,,0.17819982226585893,0.12355372971475534,,0.17679705877883037,0.13989456113345267,,0.16715126357587015,0.12110789118500606,,0.1656719489731494,0.0820077003568078,,0.1667168706130185,0.09409918282312597
Year,,,,,,,,,,,,,,,
Accuracy,0.476,0.76,0.752,0.4826254826254826,0.7606177606177607,0.7606177606177607,0.6016949152542372,0.6991525423728814,0.673728813559322,0.6880733944954128,0.7155963302752294,0.7798165137614679,0.6830985915492958,0.7112676056338029,0.7323943661971831
Precision,0.476,0.8105263157894737,0.8202247191011236,0.4826254826254826,0.8058252427184466,0.8,0.6016949152542372,0.8514851485148515,0.8350515463917526,0.6880733944954128,0.7972972972972973,0.8695652173913043,0.6830985915492958,0.8589743589743589,0.8933333333333333
Recall,1.0,0.6470588235294118,0.6134453781512605,1.0,0.664,0.672,1.0,0.6056338028169014,0.5704225352112676,1.0,0.7866666666666666,0.8,1.0,0.6907216494845361,0.6907216494845361
ROC-AUC,0.7888896016421836,0.8459490666495605,0.8123676951696709,0.7877611940298508,0.8305671641791044,0.8260597014925374,0.8603536110278693,0.8216212166616721,0.8059259814204376,0.7717647058823529,0.7862745098039216,0.8390196078431373,0.7234822451317297,0.8022909507445589,0.8028636884306988
PR-AUC,0.7844520431622368,0.8528021028389624,0.8087298067466352,0.7724720595017653,0.840482833828822,0.8171193041713454,0.9136846914183124,0.8817633240663869,0.84826644151346,0.8893938713562859,0.882590872629864,0.9188199974596677,0.8580248968259276,0.9099725907159312,0.904260659103594
