,LR,RF,RF importance scaled,GBM,GBM importance scaled
Fragility,,0.05590867012824954,0.2749550137467659,0.05172234673821527,0.11487206804383342
Durability,,0.07095682448550042,0.34896080709992855,0.05721138748161552,0.12706288113595038
Democracy,,0.02861494228132579,0.1407263279608826,0.008961808880215996,0.01990361196668945
FH_pol,,0.02395930626911066,0.11783022864744634,0.00892421594495444,0.01982012042986515
FH_civ,,0.031112908689457063,0.15301115581515226,0.03615983133224969,0.08030870343674308
Inequality,,0.07796393059448264,0.3834212754333859,0.07352844141842102,0.16330202820308706
Poverty,,0.06227269336041802,0.306252844499522,0.0289255310922871,0.06424177914151381
Inflation,,0.06142215353069801,0.3020699478211287,0.05759239017802782,0.12790906408060052
Literacy,,0.08102105637050648,0.3984560107945388,0.06343262934081798,0.14087986669897065
Intervention,,0.0002951651924953281,0.0014516022179377982,0.0,0.0
Group Intervention,,0.0008011049141701348,0.003939779146650712,0.0,0.0
Religious fragmentation,,0.09193480023887346,0.45212905628948585,0.10696413656360663,0.23756059708145588
Globalization,,0.05403527289560928,0.2657417743570226,0.005294093451624624,0.011757847459695934
GDP,,0.13463506800376399,0.66212605109108,0.04759670535542517,0.10570927889107132
Population,,0.2033375182594107,1.0,0.4502604298764676,1.0
elecsys_Mixed,,0.006324744444019471,0.031104660360566555,0.0028190950846955277,0.006261032277406584
elecsys_Other,,0.0006043602210832982,0.0029722022096890016,1.0032726497923616e-05,2.2282052412814006e-05
elecsys_PR,,0.0075305035694223305,0.03703450122674943,2.2917134080182725e-05,5.089750855181793e-05
elecsys_Plurality/Majority,,0.006246246399169586,0.030718612347775627,0.0005740074007977127,0.0012748342130690811
elecsys_Plurality/Majority and PR,,0.001022730152233901,0.005029716901182686,0.0,0.0
Accuracy,0.5745341614906833,0.7670807453416149,,0.7391304347826086,
Precision,0.5745341614906833,0.8767123287671232,,0.8300653594771242,
Recall,1.0,0.6918918918918919,,0.6864864864864865,
ROC-AUC,0.8331426316827777,0.8670546458867626,,0.847169066877096,
PR-AUC,0.8764636069977982,0.8865497840326935,,0.8883219456840712,
