,LR,RF,RF importance scaled,GBM,GBM importance scaled
Fragility,,0.042077822374471816,0.22441815093813536,0.02911069442660017,0.06751809916165047
Durability,,0.07670103439278068,0.4090778310788531,0.06807794203736924,0.1578970660693034
Democracy,,0.02690573676969301,0.14349924389494975,0.03420459130933059,0.07933266565076676
FH_pol,,0.018133161352199476,0.09671152905936346,0.0042978496524685075,0.009968248601863534
FH_civ,,0.026486308251600053,0.14126226091509264,0.013425012384964657,0.031137399340984778
Inequality,,0.08373588069161803,0.4465975293291331,0.050229981796505487,0.11650127070570332
Poverty,,0.0630547704542704,0.336296751938403,0.03728046948272759,0.08646672588571629
Inflation,,0.07239202579852133,0.3860961346285421,0.0360210581540541,0.08354570113348697
Intervention,,0.00028670567652573094,0.0015291180521834064,0.0,0.0
Group Intervention,,0.012234010687255496,0.06524895781339085,0.018446203999863364,0.04278333634256296
Religious fragmentation,,0.09711232061100403,0.5179395271665711,0.11518721717819766,0.2671603032762286
Globalization,,0.05400047831424871,0.28800652717263375,0.02612512542723566,0.06059349816110384
Education,,0.08478275385239972,0.4521809299366684,0.060107303895092674,0.13941030898321644
GDP,,0.13345283054165735,0.7117582559545419,0.06496931049315584,0.15068703906742442
Population,,0.18749741141068074,1.0,0.43115393928528606,1.0
elecsys_Mixed,,0.005371624856668675,0.02864906142572314,0.0006525329096688813,0.0015134569122818872
elecsys_Other,,0.0011119371977902708,0.0059304135957096715,0.0010355321708570295,0.0024017690121853168
elecsys_PR,,0.007136686844288176,0.03806285532474096,0.0,0.0
elecsys_Plurality/Majority,,0.007526499922326383,0.040141887110328595,0.009675235396622496,0.022440327027188737
elecsys_Plurality/Majority and PR,,0.0,0.0,0.0,0.0
Accuracy,0.47959183673469385,0.7346938775510204,,0.7142857142857143,
Precision,0.47959183673469385,0.7441860465116279,,0.7021276595744681,
Recall,1.0,0.6808510638297872,,0.7021276595744681,
ROC-AUC,0.7392574050896955,0.7999582811848143,,0.8089278264497288,
PR-AUC,0.6885744362513343,0.8155830333419472,,0.8128826324278499,
