,LR,RF,RF importance scaled,GBM,GBM importance scaled
Fragility,,0.0427162053867055,0.23021951006180405,0.029297945434568387,0.06805728571338471
Durability,,0.07981744094511192,0.43017707173235087,0.06801125239346814,0.15798586444242824
Democracy,,0.026965189646001364,0.1453292185676714,0.0336841666467213,0.07824620189197057
FH_pol,,0.01930426230201859,0.10404055718531685,0.003100145780659432,0.007201443787882161
FH_civ,,0.02403460411796948,0.12953479211171814,0.013443567839882997,0.031228563092573245
Inequality,,0.08444570994761591,0.4551211839854098,0.050198544080023375,0.11660806265340144
Poverty,,0.06570169606962967,0.354100092516347,0.03690211723504929,0.08572129884341038
Inflation,,0.06797325787839245,0.36634270259732654,0.036170125718246134,0.08402092855942223
Intervention,,0.0006961404902304457,0.0037518576648879107,0.0,0.0
Group Intervention,,0.011746367554792646,0.06330719124016272,0.018445667193724216,0.04284812548309635
Religious fragmentation,,0.09760179843836869,0.526026083408276,0.11643874609682064,0.27047988839072407
Globalization,,0.05643959227316509,0.30418187110927214,0.02655015410447764,0.06167433916682929
Education,,0.08256935584568321,0.4450085506618552,0.060587119099584696,0.1407400694468543
GDP,,0.1337193691765075,0.7206821715294536,0.06495141102923185,0.1508780452805509
Population,,0.1855455490077189,1.0,0.43048947849541425,1.0
elecsys_Mixed,,0.004789102686503476,0.02581092735511669,0.0006525329096688745,0.0015157929340097113
elecsys_Other,,0.0010321226056056055,0.00556263737462475,0.0010355321708568775,0.002405476144216399
elecsys_PR,,0.0067480158929264684,0.03636851397952825,0.000366258374979036,0.000850795183796664
elecsys_Plurality/Majority,,0.008080355631477867,0.0435491752547603,0.009675235396622895,0.022474963686542133
elecsys_Plurality/Majority and PR,,7.38641035751363e-05,0.0003980914873472037,0.0,0.0
Accuracy,0.47959183673469385,0.7244897959183674,,0.7142857142857143,
Precision,0.47959183673469385,0.717391304347826,,0.7021276595744681,
Recall,1.0,0.7021276595744681,,0.7021276595744681,
ROC-AUC,0.7392574050896955,0.820191906549854,,0.8093450146015854,
PR-AUC,0.6885744362513343,0.8102880101972735,,0.813493598552363,
