,LR,RF,RF importance scaled,GBM,GBM importance scaled
Fragility,,0.04430825901122508,0.23677199969901017,0.050299981630991024,0.11191172349300062
Durability,,0.07318713973746653,0.39109334951528535,0.05739137771547082,0.12768927115907547
Democracy,,0.032950297189973006,0.17607795770919582,0.009885189461923296,0.02199341935856861
FH_pol,,0.025379972745812714,0.1356240807793884,0.01027410359063888,0.02285870894763127
FH_civ,,0.03159384826964903,0.168829441732224,0.03652879323210194,0.08127239961466048
Inequality,,0.07638598926423314,0.4081871829470363,0.07404714032899244,0.16474644374104414
Poverty,,0.068938574305895,0.36839010286254653,0.028412394824907577,0.06321433866011476
Inflation,,0.06501300105142166,0.34741284376529485,0.05694138634790172,0.12668809167811512
Literacy,,0.07829045103469918,0.4183641393837432,0.0620360165948095,0.13802306304398412
Intervention,,0.00035564299733100476,0.0019004651849597353,0.0,0.0
Group Intervention,,0.0005734759189765118,0.0030645085847515897,0.0,0.0
Religious fragmentation,,0.09149109123759724,0.4889049831879535,0.1072900267052007,0.238708075288665
Globalization,,0.05386011346178779,0.2878146660001317,0.004828761142007915,0.010743442924145828
GDP,,0.15091015854608125,0.8064252762627875,0.04877528658454932,0.1085194508734933
Population,,0.18713470793654116,1.0,0.4494612365981208,1.0
elecsys_Mixed,,0.005135651129055422,0.027443605655434918,0.0030746205396746562,0.006840680106132897
elecsys_Other,,0.00045670814546611653,0.0024405314786447303,0.0,0.0
elecsys_PR,,0.007966891012636278,0.042573027208495776,0.00021838135124124263,0.00048587360479432205
elecsys_Plurality/Majority,,0.004640511604969773,0.024797706722279475,0.0005353033514682692,0.0011909889171308067
elecsys_Plurality/Majority and PR,,0.0014275153991820586,0.007628277057327816,0.0,0.0
Accuracy,0.5745341614906833,0.7795031055900621,,0.7422360248447205,
Precision,0.5745341614906833,0.875,,0.8311688311688312,
Recall,1.0,0.7189189189189189,,0.6918918918918919,
ROC-AUC,0.8331426316827777,0.873505622410732,,0.8467350562241072,
PR-AUC,0.8764636069977982,0.879550177546217,,0.8889545341213267,
