,LR,RF,RF importance scaled,GBM,GBM importance scaled
Terrorist attack,,0.09944786286356572,0.6249775364883822,0.26021839627749405,0.8868522165507907
Fragility,,0.037998361963474905,0.2387997284879501,0.03427166089085549,0.11680149774468872
Durability,,0.04951795083556435,0.3111942884848255,0.03152154786789636,0.10742881746894206
Democracy,,0.0225116285518773,0.14147375066265297,0.014194248472588324,0.048375521870343524
FH_pol,,0.01753102414462685,0.11017327036035604,0.011022801358324749,0.03756688980130667
FH_civ,,0.022588006198905726,0.1419537440210632,0.01748444777667678,0.05958887414468879
Inequality,,0.05623871442718564,0.35343075442652994,0.05602765350113686,0.1909482550289638
Poverty,,0.04436711253392915,0.27882397765147565,0.018711542729278854,0.0637709454132894
Inflation,,0.04284428839179236,0.2692538284953959,0.03243185223223683,0.1105312324203827
Literacy,,0.050361010404547574,0.31649247466363706,0.04022871462684882,0.13710377608262797
Internet users,,0.041499053775839415,0.2607997361492327,0.01564129958575506,0.053307227335954374
Intervention,,0.0007207524024636214,0.004529549936410227,0.0,0.0
Group Intervention,,0.0002999573189970133,0.0018850740567004634,0.0,0.0
Religious fragmentation,,0.05747345462139793,0.3611904474210458,0.052581241358136875,0.1792025126376083
Globalization,,0.03557164886090437,0.22354911240694578,0.009330296106539779,0.03179865029348686
GDP,,0.09734032856405993,0.6117327913863488,0.025603343742821357,0.08725894277366579
Population,,0.1591222996947097,1.0,0.293417991657679,1.0
US Trade,,0.04920374832017805,0.3092196908577856,0.019553442674454396,0.06664023076426324
Weapon imports,,0.08239693359241189,0.5178214100129129,0.055608729848111306,0.1895205182679737
Global terrorist attacks,,0.016602129640295074,0.1043356567379163,0.009707872133092281,0.03308546990676063
elecsys_Mixed,,0.0058576587831647865,0.03681230597096213,0.0024429171600728475,0.008325723812202073
elecsys_Other,,0.000682100488389175,0.004286642976489439,0.0,0.0
elecsys_PR,,0.004652626985243014,0.02923931462887033,0.0,0.0
elecsys_Plurality/Majority,,0.003678154639639553,0.023115268235165153,0.0,0.0
elecsys_Plurality/Majority and PR,,0.0014931919968368978,0.009383926701045169,0.0,0.0
Accuracy,0.5745341614906833,0.7608695652173914,,0.7701863354037267,
Precision,0.5745341614906833,0.875,,0.8881118881118881,
Recall,1.0,0.6810810810810811,,0.6864864864864865,
ROC-AUC,0.8331820871966857,0.8707437364371672,,0.8498914973367527,
PR-AUC,0.8764962883200862,0.8925560639611005,,0.8857245788823239,
