,LR,RF,RF importance scaled,GBM,GBM importance scaled
Terrorist attack,,0.10988277271805744,0.7910198875697152,0.36959984168659527,1.0
Fragility,,0.030532903114285467,0.2197990912607367,0.006252045338545318,0.016915714330437356
Durability,,0.0507522646161109,0.36535345493650007,0.052010006031831243,0.14071977356509122
Democracy,,0.02201707186835343,0.1584956520764719,0.007780969720300261,0.021052416269426295
FH_pol,,0.013895822377843828,0.10003271289134864,0.0025372554519155553,0.006864871587437093
FH_civ,,0.016180908937785173,0.11648250633048735,0.0022674469571185743,0.006134869936013857
Inequality,,0.0551508076088515,0.3970175174416907,0.03807021424414965,0.10300387053853652
Poverty,,0.03974161819533569,0.28609043600832734,0.0239416912233646,0.06477733084005517
Inflation,,0.04908456426363784,0.3533480776359287,0.02406948521501351,0.0651230939525764
Internet users,,0.054540633550584444,0.39262501984603215,0.04291131299141823,0.11610208704527848
Intervention,,0.000614460189410555,0.004423352432057157,0.0,0.0
Group Intervention,,0.00552186118171661,0.03975056237745678,0.004429943892221526,0.01198578406312719
Religious fragmentation,,0.05980866382184598,0.4305483140058851,0.05304814563120966,0.1435285940306008
Globalization,,0.03981032721363235,0.2865850558525817,0.010677489877548588,0.028889324813625432
Education,,0.05690315114366808,0.40963222083519496,0.04708353051847194,0.12739055921565232
GDP,,0.08851328640009226,0.6371860495027446,0.03345213902507379,0.09050907292714633
Population,,0.1389127813911924,1.0,0.1691160002699786,0.45756513178753383
US Trade,,0.053778358443503586,0.38713758305694207,0.03690963659798091,0.09986377815951201
Weapon imports,,0.07312628534091298,0.5264186967431167,0.0474619490891151,0.12841441942326584
Global terrorist attacks,,0.024974337792344477,0.17978430452712788,0.017294980396165206,0.04679379817167401
elecsys_Mixed,,0.005194261486098782,0.03739225026004784,0.005181741586507049,0.0140198696050875
elecsys_Other,,0.0012458271589417822,0.008968412744061379,0.0,0.0
elecsys_PR,,0.004863654131756964,0.0350122867244334,0.0,0.0
elecsys_Plurality/Majority,,0.004928240001739689,0.03547722500682834,0.005904174255475385,0.015974504286941416
elecsys_Plurality/Majority and PR,,2.513705229779044e-05,0.0001809556474648792,0.0,0.0
Accuracy,0.47959183673469385,0.7346938775510204,,0.7346938775510204,
Precision,0.47959183673469385,0.7333333333333333,,0.8,
Recall,1.0,0.7021276595744681,,0.5957446808510638,
ROC-AUC,0.7392574050896955,0.8333333333333333,,0.8523153942428036,
PR-AUC,0.6885744362513343,0.8259053124391467,,0.8422685315950804,
