,LR,RF,RF importance scaled,GBM,GBM importance scaled
Terrorist attack,,0.11724385637032642,0.8721552686561211,0.3644364339795369,1.0
Fragility,,0.029621511656295837,0.22034892280407506,0.006270338153962695,0.01720557433155757
Durability,,0.052836537707642905,0.39304118924334114,0.0466201371814776,0.12792391987924928
Democracy,,0.019869989350924114,0.14780915978925027,0.008716460940292027,0.023917644141972522
FH_pol,,0.0149879960351927,0.11149291837861076,0.0025087296100344924,0.006883860602629422
FH_civ,,0.014310097139763545,0.10645015442006923,0.0007435926691436087,0.0020403905861546253
Inequality,,0.054552903681860346,0.40580891689832044,0.031940286369052925,0.08764295605758883
Poverty,,0.04314943643577775,0.32098064233010515,0.023017177434900754,0.06315827751786521
Inflation,,0.050139911260901504,0.37298148602363207,0.028694838503378308,0.0787375680033943
Internet users,,0.052333713101982725,0.3893007704050927,0.042211366961257116,0.11582641861660649
Intervention,,0.00041719011164856226,0.0031033997445141866,0.0,0.0
Group Intervention,,0.007208246772977155,0.05362080876091543,0.002471894793572839,0.006782787238313379
Religious fragmentation,,0.06059337642285729,0.4507428715576924,0.05582584347631899,0.15318403505027603
Globalization,,0.03525292219156753,0.26223993970127984,0.01242745467127621,0.034100472709526104
Education,,0.05954287083298099,0.4429283556135102,0.044121200390782656,0.12106693040811628
GDP,,0.08746196200874001,0.6506132886996212,0.035603082687246365,0.09769353271974304
Population,,0.13443002706500196,1.0,0.1702000576728017,0.4670226184969158
US Trade,,0.048615271528336536,0.3616399742657883,0.03735800376966326,0.10250897080109424
Weapon imports,,0.06669202685976322,0.49610959929000925,0.04662058209810573,0.12792514071390423
Global terrorist attacks,,0.03445976749552848,0.2563398092515885,0.02975790649188861,0.08165458696580133
elecsys_Mixed,,0.005006660020419524,0.03724361386908459,0.005131733358781312,0.01408128518530466
elecsys_Other,,0.0007853498005083123,0.0058420712816532145,0.0,0.0
elecsys_PR,,0.00444145517296533,0.03303915999970542,0.0,0.0
elecsys_Plurality/Majority,,0.005952026561969711,0.04427601996309711,0.005322878786525909,0.01460578111908753
elecsys_Plurality/Majority and PR,,9.489441406752853e-05,0.000705901918933956,0.0,0.0
Accuracy,0.47959183673469385,0.7755102040816326,,0.7346938775510204,
Precision,0.47959183673469385,0.7551020408163265,,0.7560975609756098,
Recall,1.0,0.7872340425531915,,0.6595744680851063,
ROC-AUC,0.7392574050896955,0.839173967459324,,0.8352106800166875,
PR-AUC,0.6885744362513343,0.8334086317035463,,0.818157361146651,
