,LR,RF,RF importance scaled,GBM,GBM importance scaled
Fragility,,0.0392890997289848,0.26885841965936025,0.035876368702114726,0.10397989141735693
Durability,,0.06258630607267901,0.42828304692875935,0.07966683638243141,0.23089708619594143
Democracy,,0.02351764085978431,0.160933078113098,0.020289633598884034,0.05880511252482368
FH_pol,,0.015835260609480404,0.10836194190568767,0.001198135071732152,0.003472535241692197
FH_civ,,0.01827226307222346,0.12503854267686032,0.005297549701536647,0.01535380147632843
Inequality,,0.06252705809110422,0.4278776083006389,0.05017925717569077,0.1454337186646318
Poverty,,0.05414092383441958,0.3704906277168078,0.02102855868891066,0.060946727002712586
Inflation,,0.057432703205089884,0.3930165345349982,0.02911377015004483,0.08437996286879247
Internet users,,0.0665983278616245,0.4557376296312243,0.0834827152753635,0.24195658545137957
Intervention,,0.0005536925169510849,0.0037889617250471113,0.0,0.0
Group Intervention,,0.010401738053017124,0.07117991692188558,0.0059841711168713875,0.017343825071083434
Religious fragmentation,,0.06674142061335869,0.45671682465888686,0.076898149088113,0.22287264518792843
Globalization,,0.04178097949227181,0.2859105501423663,0.013135512394755031,0.03807044029061575
Education,,0.06462916947967963,0.4422625229405482,0.06408642190574114,0.18574062627171903
GDP,,0.10795444451391985,0.7387408097265291,0.0520051960082564,0.15072580725702378
Population,,0.14613304570771307,1.0,0.34503179617791013,1.0
US Trade,,0.06259470947192174,0.42834055205500937,0.05633104605673031,0.16326334755445004
Weapon imports,,0.07838845835064652,0.5364184259009739,0.04550363792681349,0.1318824480261821
elecsys_Mixed,,0.0043166018140809725,0.029538847925710054,0.0006904485824840121,0.002001115810578783
elecsys_Other,,0.0017788283383517766,0.012172663135412144,0.0030321272442054054,0.008787964697149063
elecsys_PR,,0.007087093565871614,0.04849754230160105,0.0,0.0
elecsys_Plurality/Majority,,0.00740947364746041,0.050703614720248924,0.011168668751411112,0.03236996959448968
elecsys_Plurality/Majority and PR,,3.076109936575054e-05,0.0002105006380779685,0.0,0.0
Accuracy,0.48135593220338985,0.7627118644067796,,0.7254237288135593,
Precision,0.48135593220338985,0.8050847457627118,,0.7904761904761904,
Recall,1.0,0.6690140845070423,,0.5845070422535211,
ROC-AUC,0.7755224155389856,0.8177068949645586,,0.8081331123998896,
PR-AUC,0.7365467300389852,0.8317967196182574,,0.8172044164514124,
