,LR,RF,RF importance scaled,GBM,GBM importance scaled
Fragility,,0.045635833201996163,0.26941659444509086,0.05341396564452745,0.1270801951144899
Durability,,0.06304950871554375,0.372220308641913,0.048262303104429236,0.11482358258141982
Democracy,,0.023094449413427677,0.13634084172430433,0.018096153650223042,0.04305358549852862
FH_pol,,0.021696573689700602,0.12808831535369908,0.00636624195128156,0.015146287296827966
FH_civ,,0.02726675595150514,0.16097255193093746,0.031440499865800685,0.07480187642372518
Inequality,,0.05971938725114892,0.35256053865251546,0.08060692124024087,0.19177649805969116
Poverty,,0.0512110753095647,0.30233070242641036,0.03139990348587149,0.07470529127375378
Inflation,,0.047491259587314906,0.28037032582024796,0.02701131235425543,0.06426414520729187
Literacy,,0.06280089168622789,0.3707525683014911,0.04678051309192638,0.11129817192083057
Internet users,,0.0494316402422617,0.2918255948775473,0.022284124348141046,0.05301742411270412
Intervention,,0.0002037011447291093,0.0012025740486553155,0.0,0.0
Group Intervention,,0.0006836239313132723,0.004035855566400184,0.0,0.0
Religious fragmentation,,0.0717499346154522,0.4235843125771511,0.07086208651533606,0.16859200907340602
Globalization,,0.03812904022798702,0.22509934511801133,0.014335359904836658,0.034106067800074025
GDP,,0.11885324578715734,0.7016643385689436,0.024947960317195417,0.05935510734995518
Population,,0.16938761064807792,1.0,0.4203169942917179,1.0
US Trade,,0.048000388878647784,0.2833760314287334,0.03014145469169,0.07171124437279008
Weapon imports,,0.08505177636021406,0.5021133247868926,0.06955886333684806,0.16549143689529536
elecsys_Mixed,,0.004323266828685805,0.025522922320853115,0.003171393382842114,0.007545241867239448
elecsys_Other,,0.000645346154829564,0.0038098781390236633,0.0,0.0
elecsys_PR,,0.005589042315320582,0.032995579156804185,0.0010029918546927456,0.0023862748076196663
elecsys_Plurality/Majority,,0.005227564655114413,0.030861552595929077,9.569681436724184e-07,2.2767771864304914e-06
elecsys_Plurality/Majority and PR,,0.0007580834037796216,0.004475435959449397,0.0,0.0
Accuracy,0.5745341614906833,0.7639751552795031,,0.7329192546583851,
Precision,0.5745341614906833,0.9037037037037037,,0.851063829787234,
Recall,1.0,0.6594594594594595,,0.6486486486486487,
ROC-AUC,0.8331426316827777,0.8607220359045176,,0.8183270862102979,
PR-AUC,0.8764636069977982,0.8915636316537847,,0.8695517327963846,
