,LR Fold 1,RF Fold 1,GBM Fold 1,LR Fold 2,RF Fold 2,GBM Fold 2,LR Fold 3,RF Fold 3,GBM Fold 3,LR Fold 4,RF Fold 4,GBM Fold 4,LR Fold 5,RF Fold 5,GBM Fold 5
Fragility,,0.05283054466712178,0.013378884100453192,,0.037120467746791876,0.037580173785363706,,0.03749174005270989,0.03710978162943248,,0.03788554340887773,0.020882293738383607,,0.036268093934669704,0.019507603625549177
Durability,,0.045793777438951334,0.038548487901434995,,0.05003510962877801,0.03568756814430063,,0.054669194020340386,0.05354786235051205,,0.04783423049732846,0.030092875436069148,,0.046029868964913304,0.024679429231186465
Democracy,,0.024266582108992567,0.008459709313533072,,0.024808751203779435,0.01814335149743917,,0.022857776061516732,0.004802455349751243,,0.01824289894069822,0.013088612373079608,,0.020434207239726096,0.015724101675041315
FH_pol,,0.018688028387143167,0.015534330992747139,,0.01992129844206151,0.008138759319399266,,0.016911563607467605,0.006954230801856592,,0.021622769418899155,0.009861910796740113,,0.01837347519376492,0.006546721055987148
FH_civ,,0.01897844711388196,0.022227853838711918,,0.01897745858895521,0.011371384925617987,,0.02578096809314637,0.04449933308567297,,0.030811126170020662,0.041785267141268304,,0.02817549915661063,0.04099052942937885
Inequality,,0.05631796194792571,0.053019434296401824,,0.05263092370927487,0.06927530295171964,,0.06081314288659824,0.0684142939871059,,0.05441375893979359,0.07100762822111542,,0.0515865273302425,0.05608370183674044
Poverty,,0.04675542762880305,0.04482876877323329,,0.0467131805615402,0.010171106218923394,,0.046115852947710714,0.02111786156365585,,0.03999453714379105,0.015050561481166593,,0.04179204798012454,0.012892551297771138
Inflation,,0.04701309134453814,0.04212335903206466,,0.04456314764254346,0.054133909050766676,,0.04441250629441352,0.03563771902371572,,0.04237833107198076,0.02857811900557334,,0.042248967846534924,0.030566373510524825
Literacy,,0.04580054197950545,0.04941707090898324,,0.05479296113713754,0.03583199902438257,,0.045769158417652146,0.030263216653322503,,0.049010995296339635,0.04490989797624132,,0.05106855303013121,0.055269849968690596
Internet users,,0.03874356858376663,0.05429303375743299,,0.03637599928775055,0.026110308353437278,,0.04576380833174948,0.023656932925345004,,0.0388981355092316,0.016856592033096536,,0.036938686386047456,0.008929403337864015
Intervention,,0.0005019648188325237,5.687316598887136e-07,,0.00024859220887966276,0.0,,0.00036818140979514284,0.0,,0.00026026832153884413,0.0,,0.00013164325172220487,0.0
Group Intervention,,0.00023399378898603262,0.0,,7.359479008963548e-05,0.0,,0.0003458240123113632,0.0,,0.00016000688099566214,0.0,,0.0009934285034679969,0.0
Religious fragmentation,,0.051635924166774046,0.05908593852832679,,0.06047588013513661,0.06632768520825216,,0.06729482957915907,0.08563755299702681,,0.06746299115214469,0.08087767548986408,,0.06956498196816699,0.1027189432913925
Globalization,,0.04080832214010523,0.010567562235655192,,0.031878035233147854,0.001916973991665372,,0.03206627841985841,0.010905249345509824,,0.03340910928682596,0.004950190518004032,,0.033068280148272865,0.004487858532028751
GDP,,0.10160093800620279,0.006618239067733874,,0.10829911648822492,0.021642513796230823,,0.10753421898590206,0.050590033476586076,,0.11267411420326251,0.05427047915904386,,0.11650672873372235,0.04747505974093333
Population,,0.1422803977329536,0.3399109281599544,,0.15770774290888445,0.38215893079247,,0.16139511841131005,0.4024893572509634,,0.1693713097418978,0.42656994442341434,,0.17627478693704404,0.4229546164516435
