,LR,RF,RF importance scaled,GBM,GBM importance scaled
Terrorist attack,,0.1271555327036909,0.8673955552785282,0.3683463436165183,1.0
Fragility,,0.03356478515718495,0.22896326129249006,0.007720515339119553,0.020959934781264733
Durability,,0.05423046999093642,0.3699348949323262,0.049755991115702586,0.13507936749740904
Democracy,,0.0242175054118031,0.16520049192890507,0.008774335817767981,0.023820884799939414
FH_pol,,0.016823407204345543,0.11476141323472684,0.002353276104855456,0.0063887592360776305
FH_civ,,0.017625674053599855,0.12023410234540917,0.0013886958435740718,0.0037700817929655606
Inequality,,0.06186208091661069,0.42199417427151587,0.03597618767775275,0.09766945783831968
Poverty,,0.04838002505534623,0.33002589667144744,0.02248707029506955,0.06104871321454086
Inflation,,0.04723285157849734,0.32220041590946674,0.029315199602978837,0.07958596606431527
Internet users,,0.05132732122757488,0.35013097228650436,0.03630627016242988,0.09856557772765072
Intervention,,0.0010912295645923143,0.00744385756553417,0.0,0.0
Group Intervention,,0.006470233332719557,0.04413690474243138,0.0026541138487129715,0.007205484443402383
Religious fragmentation,,0.06420727753064571,0.4379920083886403,0.059451554772264326,0.1614012350130961
Globalization,,0.040028843370342466,0.27305804225825564,0.011277268123596505,0.03061593611293494
Education,,0.059181835559866024,0.40371079438183566,0.043282042794336985,0.11750365802299774
Population,,0.14659463255245775,1.0,0.1895535883585888,0.5146069498002975
US Trade,,0.05675486586586838,0.3871551425701694,0.04122279708843304,0.11191314316764246
Weapon imports,,0.08404758833043864,0.5733333265142765,0.052319762675804134,0.14203958742230305
Global terrorist attacks,,0.03818434637296119,0.2604757466771317,0.028390100796353054,0.07707447430483987
elecsys_Mixed,,0.007059936103953244,0.04815958115947322,0.002845710005224699,0.007725636631233509
elecsys_Other,,0.0010222226272840486,0.0069731245236298416,0.0,0.0
elecsys_PR,,0.0058262001112937625,0.039743611412299845,0.0,0.0
elecsys_Plurality/Majority,,0.006990723541541024,0.04768744543930998,0.0065791759609164354,0.0178613852829932
elecsys_Plurality/Majority and PR,,0.00012041183644600413,0.0008213932143996861,0.0,0.0
Accuracy,0.47959183673469385,0.7551020408163265,,0.7346938775510204,
Precision,0.47959183673469385,0.7446808510638298,,0.7560975609756098,
Recall,1.0,0.7446808510638298,,0.6595744680851063,
ROC-AUC,0.7334167709637047,0.8260325406758449,,0.8314559866499791,
PR-AUC,0.6993145042518734,0.8235936206921084,,0.8245242678799931,
