,LR,RF,RF importance scaled,GBM,GBM importance scaled
Terrorist attack,,0.10434588508937621,0.6201388747855523,0.256889013352101,0.8918335674668709
Fragility,,0.04458025378479521,0.26494526732968393,0.03753802745225647,0.1303195979523249
Durability,,0.05243683808054981,0.3116377970892801,0.03253210592073878,0.11294069645841977
Democracy,,0.02606675732180748,0.1549175565572883,0.012405602308199511,0.04306814222503351
FH_pol,,0.019257392004690503,0.114448762391196,0.010328950728685544,0.035858695770407595
FH_civ,,0.0235959529808328,0.1402332992670763,0.011682467860141925,0.04055765893828648
Inequality,,0.05730804754238415,0.3405879214944661,0.05959766550416755,0.20690335466557355
Poverty,,0.05147990422800657,0.3059506357598987,0.03553291725768747,0.12335851949025903
Inflation,,0.0449931309424813,0.26739904090947386,0.033846737052015095,0.11750466031351148
Literacy,,0.0598418665784265,0.35564668192929894,0.03651543661594209,0.12676950127162645
Internet users,,0.04354202470530925,0.25877495967863867,0.02449456849249586,0.08503702870423102
Intervention,,0.0013986116794874337,0.008312100399899474,0.0,0.0
Group Intervention,,0.0007273461469782996,0.0043226967769776775,0.0,0.0
Religious fragmentation,,0.07085203320093696,0.4210812923563108,0.04899315812625901,0.17008801747905788
Globalization,,0.03804371998982404,0.2260979403925543,0.0064401363563078,0.02235802032431336
Population,,0.16826212535935542,1.0,0.28804591206603547,1.0
US Trade,,0.05028196674981143,0.29883116383098596,0.025325051071388167,0.08792018914534123
Weapon imports,,0.09659050956750923,0.5740478397097506,0.06795679458924639,0.23592348213456704
Global terrorist attacks,,0.025247041992134386,0.1500458997425272,0.007911052986508292,0.027464555666718356
elecsys_Mixed,,0.006738050526278435,0.04004496265507202,0.0023302926232927133,0.008090004147528003
elecsys_Other,,0.0007405354338769248,0.0044010821347666455,0.0,0.0
elecsys_PR,,0.006261079630657919,0.037210273062260484,0.0,0.0
elecsys_Plurality/Majority,,0.005319266497333604,0.03161297580173381,0.0,0.0
elecsys_Plurality/Majority and PR,,0.002089659967156166,0.012419075075233385,0.0016341096365309021,0.005673087407525079
Accuracy,0.5745341614906833,0.7701863354037267,,0.7515527950310559,
Precision,0.5745341614906833,0.9111111111111111,,0.9007633587786259,
Recall,1.0,0.6648648648648648,,0.6378378378378379,
ROC-AUC,0.8340501085026633,0.8704280923259026,,0.8509962517261789,
PR-AUC,0.8778202361278695,0.8999303646974235,,0.8912051775197642,
