,LR,RF,RF importance scaled,GBM,GBM importance scaled
Terrorist attack,,0.10848127378592183,0.5861076027715899,0.2567295771380353,0.8395363558383654
Fragility,,0.04295665972631789,0.23208821187841228,0.037905457613681456,0.12395537010628711
Durability,,0.05851409784249968,0.3161426522561764,0.03224220990294691,0.1054358742294108
Democracy,,0.031817046306634865,0.17190259744603498,0.015233477085009788,0.04981528806016805
FH_pol,,0.02604003133058793,0.14069027590316374,0.005828873670032936,0.019061112529899674
FH_civ,,0.02496362632265965,0.13487462554443747,0.00946447481567383,0.03094996215571455
Inequality,,0.0663102590946782,0.35826410993146507,0.08141584571962711,0.26623953182536453
Poverty,,0.05566371694590611,0.30074248358203975,0.028375071113560437,0.09278986887640422
Inflation,,0.05460633008584507,0.29502958534510015,0.0409599322334198,0.13394386663965357
Literacy,,0.0631819406522005,0.3413622875335729,0.044370876803620576,0.14509806245283544
Internet users,,0.05289416708179529,0.2857790325184606,0.02206814484986807,0.07216546731353064
Intervention,,0.001360783310489216,0.007352102498135734,0.0,0.0
Group Intervention,,0.0004708547551065524,0.0025439556721440315,0.0,0.0
Religious fragmentation,,0.07366659596489718,0.3980092642582189,0.05122249963193277,0.1675036867871419
Globalization,,0.05037736465848552,0.2721811369232555,0.01919041284591516,0.06275494022658314
Population,,0.18508764136983516,1.0,0.30579923710589496,1.0
US Trade,,0.05890114275381302,0.3182337962593568,0.025321351392656052,0.08280384095231585
Global terrorist attacks,,0.02205418802628608,0.11915537884141185,0.01649586458396951,0.053943445837496225
elecsys_Mixed,,0.007155615138665747,0.03866068574707085,0.006228274485471762,0.020367200861639095
elecsys_Other,,0.0010616405125949283,0.005735880065993159,0.0,0.0
elecsys_PR,,0.006081271164684485,0.032856170837106936,0.0003168434730280254,0.0010361159695055288
elecsys_Plurality/Majority,,0.006556577507445067,0.035424177751252235,0.0,0.0
elecsys_Plurality/Majority and PR,,0.0017971756626499948,0.009709863118623603,0.0008315755356555967,0.0027193512434029754
Accuracy,0.5821325648414986,0.7838616714697406,,0.7665706051873199,
Precision,0.6338797814207651,0.8742138364779874,,0.8791946308724832,
Recall,0.5979381443298969,0.7164948453608248,,0.6752577319587629,
ROC-AUC,0.7159221076746849,0.8716899130786335,,0.8600667070952093,
PR-AUC,0.80007400804969,0.8740216257745774,,0.8896474031315238,
