,LR,RF,RF importance scaled,GBM,GBM importance scaled
Terrorist attack,,0.11487400846045764,0.8930210197422187,0.3725259150699887,1.0
Fragility,,0.03638738080168337,0.28287248216338823,0.007893856069628582,0.021190085710266666
Durability,,0.0550377734132433,0.42785908837467146,0.05891860938007937,0.15815976015792074
Democracy,,0.02547327512492546,0.1980271293141606,0.010700713578904475,0.02872474946311874
FH_pol,,0.015739119909732542,0.12235461354578396,0.0037253313398962953,0.010000193783018812
FH_civ,,0.01842449691019919,0.14323051175364102,0.0026776488576487037,0.00718781901963958
Inequality,,0.061312274482613095,0.4766365395878502,0.03465816814477257,0.09303558958646174
Poverty,,0.05077678876343336,0.39473454690462223,0.016188280162413526,0.04345544701063853
Inflation,,0.053314302633233286,0.4144609693912092,0.05048452668261833,0.13551950251067363
Internet users,,0.0615892253658938,0.4787895327977196,0.05447340589751866,0.14622715814894222
Intervention,,0.0006338438232313954,0.004927449341808685,0.0,0.0
Group Intervention,,0.008211383572895197,0.06383461524532369,0.004656334768787614,0.01249935797865982
Religious fragmentation,,0.06054355568980041,0.470660583412447,0.05215753339114607,0.1400104832474458
Globalization,,0.04221600994190302,0.3281837619581547,0.013748301716126291,0.03690562497791144
Education,,0.058094797145915075,0.4516241374724962,0.04894379463129787,0.13138359682198889
GDP,,0.0917916110195798,0.7135803753614368,0.0417821254100903,0.1121589766506323
Population,,0.12863527948493017,1.0,0.15891987278663974,0.42660085206899634
Weapon imports,,0.06898283704111685,0.536266857096527,0.04380421697618993,0.11758703275169503
Global terrorist attacks,,0.02973866343287685,0.23118590445757753,0.014430809920459411,0.038737734307016485
elecsys_Mixed,,0.004372524327847298,0.03399164168146847,0.0,0.0
elecsys_Other,,0.00134475350137427,0.0104540022516281,0.0017969166335465771,0.004823601690123973
elecsys_PR,,0.006324293743193233,0.049164535332114186,0.0,0.0
elecsys_Plurality/Majority,,0.006181801409921379,0.04805681174460064,0.007513638582246987,0.02016943863042482
elecsys_Plurality/Majority and PR,,0.0,0.0,0.0,0.0
Accuracy,0.6241610738255033,0.7214765100671141,,0.7718120805369127,
Precision,0.5964912280701754,0.7583333333333333,,0.8130081300813008,
Recall,0.7034482758620689,0.6275862068965518,,0.6896551724137931,
ROC-AUC,0.7332431823304034,0.814987604237097,,0.8301555104800541,
PR-AUC,0.7319417697939226,0.8396342969275449,,0.8456646051150363,
