,LR,RF,RF importance scaled,GBM,GBM importance scaled
Terrorist attack,,0.108373755652994,0.7593662892345966,0.37711116212388346,1.0
Fragility,,0.034578020796693455,0.24228544247867836,0.011415632029043166,0.030271265280906897
Durability,,0.05548624313899314,0.3887876940514776,0.0426380495013603,0.1130649362411432
Democracy,,0.02309331717572457,0.16181303733717264,0.010243828645489469,0.027163949716567406
FH_pol,,0.015250941639441407,0.10686213548931366,0.0012973765120375814,0.003440302601309332
FH_civ,,0.01710661894397512,0.11986471882021343,0.0033728748038647292,0.008943980297132436
Inequality,,0.054814792928766606,0.38408289581436467,0.04272031279601832,0.11328307694584872
Poverty,,0.050724329780778364,0.3554213457626674,0.025513547264714692,0.06765524287592772
Inflation,,0.049959308114109764,0.35006089976998345,0.03449914585239608,0.09148269613155308
Internet users,,0.05225770554053951,0.36616558779503194,0.04027474279158892,0.10679806602584309
Intervention,,0.0005599811195679264,0.003923743181599184,0.0,0.0
Group Intervention,,0.006970874619820825,0.04884436421786707,0.005349025019169055,0.014184212922904322
Religious fragmentation,,0.06293875030308704,0.44100681921322415,0.052030383671154576,0.1379709456970734
Globalization,,0.03989258688010757,0.2795241844724161,0.011066272483880658,0.029344855298251066
Education,,0.05936230958912911,0.4159469834876664,0.04201587910053713,0.11141510334487167
GDP,,0.09532648881774533,0.6679451278875627,0.03862459799181929,0.10242231434966345
Population,,0.1427160478274975,1.0,0.17543843671585801,0.4652167698452409
Weapon imports,,0.07411401440560461,0.5193110062519882,0.04275129090139409,0.11336522276513791
Global terrorist attacks,,0.0371828748331601,0.26053744760437497,0.03038087551899973,0.08056212218141508
elecsys_Mixed,,0.005115438241470994,0.03584346903758211,0.005080498807546558,0.013472151762714416
elecsys_Other,,0.0009753014455250819,0.0068338596841186336,0.0,0.0
elecsys_PR,,0.0068099078797702215,0.047716483068543446,0.0014600098020372012,0.0038715634769717544
elecsys_Plurality/Majority,,0.006387598785748298,0.04475739682386007,0.006716057667207011,0.017809225347195486
elecsys_Plurality/Majority and PR,,2.791539749462877e-06,1.9560097073575377e-05,0.0,0.0
Accuracy,0.48484848484848486,0.7171717171717171,,0.7474747474747475,
Precision,0.48484848484848486,0.7083333333333334,,0.7804878048780488,
Recall,1.0,0.7083333333333334,,0.6666666666666666,
ROC-AUC,0.7446895424836601,0.8290441176470588,,0.8439542483660131,
PR-AUC,0.7074288422142453,0.8298683291449379,,0.8317933594170039,
