,LR,RF,RF importance scaled,GBM,GBM importance scaled
Terrorist attack,,0.10778356663968838,0.7289424893734636,0.258092708964257,0.8813687087686278
Fragility,,0.03873050900233452,0.2619352330512626,0.030236431135147877,0.1032553161780617
Durability,,0.04864259990469613,0.32897090873471135,0.030179055923102674,0.10305938380647887
Democracy,,0.026442194785049163,0.1788291099657702,0.006814720578995511,0.023271798344989564
FH_pol,,0.023493511477232092,0.15888710379743204,0.01086114949220117,0.03709007256384795
FH_civ,,0.01917450998159946,0.12967760739656894,0.014529881506789152,0.0496185380578629
Inequality,,0.0631561299721329,0.42712621261624334,0.055810429970868554,0.19058874927791375
Poverty,,0.04887632678298488,0.33055160844436965,0.03171923883703242,0.10831900168396706
Inflation,,0.045493783248908286,0.307675396596728,0.0392610964766554,0.1340739226820332
Literacy,,0.054586825103857935,0.36917182664048387,0.04554643056029268,0.15553790284523117
Internet users,,0.04433846949442485,0.2998619857915742,0.019841065065323994,0.06775586171107506
Intervention,,0.0009825468166497911,0.0066449844330067126,0.0,0.0
Group Intervention,,0.0006914763877397995,0.004676469105044612,0.0,0.0
Religious fragmentation,,0.061336465780920967,0.414819786073504,0.05651161740309426,0.19298325574896308
Globalization,,0.042978578079207914,0.29066501203768447,0.009494432304256162,0.032422828115040984
GDP,,0.09761775595271907,0.660190901541612,0.031977862994644266,0.10920218525302439
Population,,0.14786292226198788,1.0,0.29283171321664214,1.0
Weapon imports,,0.08327084264751208,0.5631624302674767,0.053929241196696676,0.1841646200280188
Global terrorist attacks,,0.024334166353729984,0.16457247010588624,0.00710132114144221,0.02425051939708636
elecsys_Mixed,,0.006592911889420579,0.04458799940216969,0.0041252194762907085,0.014087338529617513
elecsys_Other,,0.0008692228840232638,0.00587857233392932,0.0,0.0
elecsys_PR,,0.006096042743544431,0.04122766309692759,0.0,0.0
elecsys_Plurality/Majority,,0.005507179476762641,0.0372451686502236,0.0006027096035317644,0.00205821151306064
elecsys_Plurality/Majority and PR,,0.0011414623328731104,0.007719733354455377,0.0005336741527354717,0.0018224602344919178
Accuracy,0.5709876543209876,0.7685185185185185,,0.7685185185185185,
Precision,0.5709876543209876,0.8819444444444444,,0.8873239436619719,
Recall,1.0,0.6864864864864865,,0.6810810810810811,
ROC-AUC,0.8338712813532957,0.8719618899475016,,0.8480458876142329,
PR-AUC,0.8758671895339418,0.8694430908243271,,0.8845155033265787,
