,LR,RF,RF importance scaled,GBM,GBM importance scaled
Internet users,,0.12351511422824821,0.40514197714091765,0.06578736083488212,0.13154946130575657
Intervention,,0.0011646443264659691,0.003820150335759174,0.0,0.0
Group Intervention,,0.002160748854302911,0.007087473208497795,0.0,0.0
Religious fragmentation,,0.1618298432414995,0.5308181355854765,0.16542765865649411,0.33079179807735437
Globalization,,0.10540977813547084,0.34575465675295614,0.0665433244917033,0.13306109835213625
Population,,0.3048687156534432,1.0,0.5000960108987028,1.0
US Trade,,0.13215656161406322,0.43348679227648607,0.0828473056773005,0.16566280048588847
Weapon imports,,0.1688945939465061,0.5539912272877993,0.1192983394409171,0.23855087191463648
Accuracy,0.5745341614906833,0.7267080745341615,,0.7142857142857143,
Precision,0.5745341614906833,0.9008264462809917,,0.849624060150376,
Recall,1.0,0.5891891891891892,,0.6108108108108108,
ROC-AUC,0.8340501085026633,0.8354705070033537,,0.7986979680410339,
PR-AUC,0.8778202361278695,0.8716909539546812,,0.8451009758175771,
