,LR,RF,RF importance scaled,GBM,GBM importance scaled
Internet users,,0.1306535531619712,0.45609063186217635,0.10064908030377252,0.2165354155918856
Intervention,,0.001541623671414296,0.00538156136877025,0.0,0.0
Group Intervention,,0.015136124901827632,0.05283778820665663,0.0062326104186726195,0.013408775153795486
Religious fragmentation,,0.1572852003828956,0.549057447647615,0.1737764285896325,0.373860854676079
Globalization,,0.10978915223175267,0.3832563493387452,0.07374871671374666,0.15866224484895583
Population,,0.28646401402397736,1.0,0.4648157901960506,1.0
US Trade,,0.14030698999816058,0.4897892340027628,0.10391394524846867,0.2235594130841375
Weapon imports,,0.1588233416280006,0.5544268524237984,0.07686342852965637,0.16536320441531646
Accuracy,0.47959183673469385,0.7244897959183674,,0.7142857142857143,
Precision,0.47959183673469385,0.717391304347826,,0.7111111111111111,
Recall,1.0,0.7021276595744681,,0.6808510638297872,
ROC-AUC,0.7334167709637047,0.7916145181476846,,0.8047559449311639,
PR-AUC,0.6993145042518734,0.7666333628066266,,0.7923687946932388,
