,LR,RF,RF importance scaled,GBM,GBM importance scaled
Internet users,,0.13505047340548326,0.4846213401812067,0.0996948604282721,0.2142424003563945
Intervention,,0.0013750600694305561,0.004934328898472732,0.0,0.0
Group Intervention,,0.01536829211265083,0.05514828739302087,0.00623261041867249,0.013393763839444602
Religious fragmentation,,0.1563695472187808,0.5611236867653752,0.174818266270282,0.3756812019295153
Globalization,,0.11266730276293997,0.40430053951488665,0.07264709689361983,0.15611725971180476
Population,,0.2786721553677063,1.0,0.46533674129130664,1.0
US Trade,,0.13350375863173364,0.4790710376340837,0.10363591343822859,0.22271164995620066
Weapon imports,,0.16699341043127464,0.5992468469299626,0.07763451125961836,0.16683512039944032
Accuracy,0.47959183673469385,0.7346938775510204,,0.7040816326530612,
Precision,0.47959183673469385,0.7333333333333333,,0.6956521739130435,
Recall,1.0,0.7021276595744681,,0.6808510638297872,
ROC-AUC,0.7334167709637047,0.8087192323738006,,0.8026700041718816,
PR-AUC,0.6993145042518734,0.7948953113099424,,0.7911812615812562,
