,LR,RF,RF importance scaled,GBM,GBM importance scaled
Internet users,,0.12288186406335291,0.3999495174453935,0.06731653381566166,0.13407078308773135
Intervention,,0.0013077436549958766,0.004256376217471947,0.0,0.0
Group Intervention,,0.00184601717758151,0.006008320959299474,0.0,0.0
Religious fragmentation,,0.15975146669950047,0.5199507877315294,0.1646420753332516,0.32790892100244623
Globalization,,0.10616171672225487,0.34552964912991624,0.06422719340091489,0.12791790703852943
Population,,0.30724343624225126,1.0,0.5020969689690856,1.0
US Trade,,0.12885555159816908,0.4193923657870131,0.08146255488556686,0.16224466571233684
Weapon imports,,0.1719522038418941,0.5596611141476607,0.12025467359551938,0.23950487859432493
Accuracy,0.5745341614906833,0.7360248447204969,,0.7142857142857143,
Precision,0.5745341614906833,0.9032258064516129,,0.849624060150376,
Recall,1.0,0.6054054054054054,,0.6108108108108108,
ROC-AUC,0.8340501085026633,0.863207733280726,,0.8007101992503454,
PR-AUC,0.8778202361278695,0.8763238684490849,,0.8473831335686024,
